Name,PDGA#,Rating,Rd1,Rd2,Rd3,Rd4,Par,Place,best_round
Chris Dickerson,62467,1046,60,58,58,57,-39,1,58
Ricky Wysocki,38008,1053,58,57,59,61,-37,2,57
Calvin Heimburg,45971,1050,58,60,57,61,-36,3,57
Corey Ellis,44512,1027,57,62,59,59,-35,4,57
Matthew Orum,18330,1042,58,62,61,58,-33,5,58
Gannon Buhr,75412,1034,61,62,61,55,-33,5,61
Emerson Keith,47472,1023,63,58,62,56,-33,5,58
Gavin Babcock,80331,1010,62,59,57,61,-33,5,57
Paul McBeth,27523,1053,61,58,69,52,-32,9,58
Drew Gibson,48346,1039,59,62,62,59,-30,10,59
James Conrad,17295,1038,58,61,62,62,-29,11,58
Ezra Robinson,50671,1014,60,63,61,59,-29,11,60
Niklas Anttila,91249,1033,67,61,58,58,-28,13,58
Eagle McMahon,37817,1053,66,60,58,61,-27,14,58
Joel Freeman,69509,1034,61,64,64,56,-27,14,61
Mason Ford,72844,1028,60,58,64,63,-27,14,58
Chandler Fry,25541,1026,60,62,60,63,-27,14,60
Ezra Aderhold,121715,1026,60,61,61,63,-27,14,60
Isaac Robinson,50670,1034,61,59,65,61,-26,19,59
Cale Leiviska,24341,1033,61,65,61,59,-26,19,61
Eric Oakley,53565,1019,62,60,62,62,-26,19,60
Kevin Jones,41760,1036,61,62,61,63,-25,22,61
Gregg Barsby,15857,1028,60,61,64,62,-25,22,60
Casey White,81739,1022,57,63,62,65,-25,22,57
Evan Smith,101574,1020,61,62,66,58,-25,22,61
Kevin Kiefer III,97115,1013,63,62,62,60,-25,22,62
Kyle Klein,85132,1040,67,58,62,61,-24,27,58
Chris Clemons,50401,1028,64,62,60,62,-24,27,60
Andrew Marwede,75590,1028,58,61,64,65,-24,27,58
Nikko Locastro,11534,1036,64,63,61,61,-23,30,61
David Feldberg,12626,1023,62,65,62,60,-23,30,62
Luke Samson,59419,1019,61,66,61,61,-23,30,61
Austin Hannum,68835,1016,62,56,64,67,-23,30,56
Jeremy Koling,33705,1025,62,63,64,61,-22,34,62
Simon Lizotte,8332,1030,67,61,62,61,-21,35,61
Matt Bell,48950,1024,58,63,63,68,-20,36,58
Alden Harris,98091,1024,65,64,61,62,-20,36,61
Aaron Gossage,35449,1026,62,67,68,56,-19,38,62
Connor O'Reilly,99648,1016,64,64,62,63,-19,38,62
Andrew Presnell,63765,1029,59,69,63,63,-18,40,59
Ben Callaway,39015,1023,67,62,61,64,-18,40,61
Colten Montgomery,35876,1021,64,65,64,61,-18,40,64
John Willis II,23844,1001,59,65,65,65,-18,40,59
James Proctor,34250,1036,66,66,61,62,-17,44,61
Thomas Gilbert,85850,1028,62,68,63,62,-17,44,62
Cole Redalen,79748,1026,63,65,64,63,-17,44,63
Luke Humphries,69424,1020,66,66,62,61,-17,44,62
Bradley Williams,31644,1028,67,65,58,66,-16,48,58
Jonathan Nicholson,101390,1014,70,61,60,65,-16,48,60
Randon Latta,51685,1003,61,66,63,66,-16,48,61
Lauri Lehtinen,82297,1029,60,66,67,64,-15,51,60
Andrew Fish,58320,1026,63,67,65,62,-15,51,63
Nathan Queen,68286,1025,66,65,63,63,-15,51,63
Vaino Makela,59635,1022,63,68,65,61,-15,51,63
Brodie Smith,128378,1020,64,65,62,66,-15,51,62
Micah Groth,113179,1008,62,66,63,66,-15,51,62
Albert Tamm,76669,1019,64,60,68,66,-14,57,60
Matt Hammersten,81781,1016,68,61,65,64,-14,57,61
Clay Edwards,91397,1004,65,64,64,65,-14,57,64
Linus Carlsson,82098,1028,65,62,64,68,-13,60,62
Tristan Tanner,99053,1007,67,65,63,64,-13,60,63
Grady Shue,68285,1004,67,68,62,62,-13,60,62
Max Regitnig,27812,1003,66,63,66,64,-13,60,63
Martin Hendel,39469,1013,68,64,65,63,-12,64,64
Nate Perkins,65737,1005,66,64,64,66,-12,64,64
Evan Scott,89394,1005,64,60,67,69,-12,64,60
Tim Barham,53332,1018,64,67,67,63,-11,67,64
Zach Melton,38631,1010,65,62,71,64,-10,68,62
Chandler Kramer,139228,1008,63,69,63,67,-10,68,63
Lance Brown,58644,993,62,69,62,69,-10,68,62
Paul Ulibarri,27171,1026,63,69,67,64,-9,71,63
Robert Burridge,96512,1004,74,61,69,59,-9,71,61
Knut Valen Haland,35070,1012,62,68,63,71,-8,73,62
Kris Orrick,20020,1010,63,64,68,69,-8,73,63
Silas Schultz,79047,1005,68,68,66,62,-8,73,66
Justin Rosak,98161,1005,65,68,67,64,-8,73,65
Peter Lunde,72576,1002,71,62,65,66,-8,73,62
Blaer Orn Asgeirsson,80554,1012,70,68,65,62,-7,78,65
Michael Johansen,20300,1017,65,68,69,64,-6,79,65
Joshua Anthon,17946,1015,63,70,66,67,-6,79,63
Scott Conway,38603,996,64,68,68,66,-6,79,64
Scott Withers,38464,1035,67,66,65,69,-5,82,65
Silver Latt,61186,1004,66,64,70,67,-5,82,64
Dustin Keegan,35187,1016,68,66,68,66,-4,84,66
Ian Burchett,60435,1002,64,68,64,72,-4,84,64
Jason Lynn,46394,1008,69,66,67,67,-3,86,66
Matt Dollar,26045,1000,69,70,65,65,-3,86,65
Adam Hammes,57365,1039,69,73,68,60,-2,88,68
Nicholas Carl,82935,1007,70,71,67,62,-2,88,67
Luukas Rokkanen,64917,1014,64,71,64,72,-1,90,64
AJ Carey,61770,1012,69,71,71,60,-1,90,69
Noah Fiveash,99153,1001,69,67,63,72,-1,90,63
Noah Meintsma,56555,1014,68,65,72,67,E,93,65
