Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Simon Lizotte,8332,1034,55,58.0,58.0,59.0,-34,1,55
Garrett Gurthie,13864,1026,56,58.0,59.0,58.0,-33,2,56
Isaac Robinson,50670,1035,54,62.0,60.0,60.0,-28,3,54
Gannon Buhr,75412,1037,59,65.0,57.0,57.0,-26,4,57
Paul McBeth,27523,1052,58,61.0,57.0,63.0,-25,5,57
Adam Hammes,57365,1036,61,60.0,59.0,59.0,-25,5,59
Albert Tamm,76669,1019,58,64.0,59.0,58.0,-25,5,58
Cole Redalen,79748,1026,62,58.0,58.0,62.0,-24,8,58
Joel Freeman,69509,1034,57,57.0,63.0,64.0,-23,9,57
Nate Sexton,18824,1030,64,62.0,60.0,57.0,-21,10,60
Ezra Aderhold,121715,1029,59,68.0,59.0,58.0,-20,11,59
Calvin Heimburg,45971,1048,62,64.0,57.0,62.0,-19,12,57
Aaron Gossage,35449,1027,62,62.0,58.0,63.0,-19,12,58
Chris Clemons,50401,1027,64,61.0,61.0,59.0,-19,12,61
Corey Ellis,44512,1028,60,66.0,60.0,61.0,-17,15,60
Andrew Presnell,63765,1027,62,62.0,62.0,61.0,-17,15,62
Kyle Klein,85132,1039,59,67.0,59.0,63.0,-16,17,59
Linus Carlsson,82098,1024,60,63.0,63.0,62.0,-16,17,60
Gavin Babcock,80331,1011,66,61.0,60.0,61.0,-16,17,60
Max Regitnig,27812,1006,64,57.0,63.0,64.0,-16,17,57
Kevin Jones,41760,1037,65,61.0,63.0,60.0,-15,21,61
James Proctor,34250,1033,59,58.0,66.0,66.0,-15,21,58
Scott Withers,38464,1029,61,64.0,61.0,63.0,-15,21,61
Luke Samson,59419,1019,60,62.0,60.0,67.0,-15,21,60
Chandler Kramer,139228,1006,66,62.0,59.0,62.0,-15,21,59
James Conrad,17295,1037,61,68.0,58.0,63.0,-14,26,58
Zackeriath Johnson,50312,1021,62,64.0,65.0,59.0,-14,26,62
Austin Hannum,68835,1017,63,61.0,67.0,59.0,-14,26,61
Anthony Barela,44382,1036,63,63.0,64.0,61.0,-13,29,63
Mason Ford,72844,1029,65,60.0,60.0,66.0,-13,29,60
Ty Love,89959,1013,67,58.0,61.0,65.0,-13,29,58
Drew Gibson,48346,1035,61,62.0,65.0,64.0,-12,32,61
Ben Callaway,39015,1023,62,63.0,63.0,64.0,-12,32,62
Brodie Smith,128378,1022,66,60.0,63.0,63.0,-12,32,60
Chris Nelson,78697,1019,62,64.0,63.0,63.0,-12,32,62
Thomas Gilbert,85850,1029,61,65.0,65.0,62.0,-11,36,61
Andrew Marwede,75590,1028,66,61.0,62.0,65.0,-10,37,61
Colten Montgomery,35876,1019,64,63.0,63.0,64.0,-10,37,63
Alan Wagner,28550,1003,63,62.0,64.0,65.0,-10,37,62
Eric Oakley,53565,1017,62,65.0,62.0,67.0,-8,40,62
Evan Scott,89394,1008,65,62.0,63.0,66.0,-8,40,62
Nate Perkins,65737,1004,63,63.0,64.0,68.0,-6,42,63
Bhrahsten Waugh,45463,983,66,63.0,61.0,68.0,-6,42,61
Lance Brown,58644,993,60,63.0,67.0,71.0,-3,44,60
Sias Elmore,57425,1009,64,65.0,63.0,70.0,-2,45,63
Tuomas Hyytiainen,65715,999,63,62.0,65.0,73.0,-1,46,62
Jeremy Koling,33705,1025,63,67.0,63.0,,-5,47,63
Alex Russell,66362,1019,63,63.0,67.0,,-5,47,63
Noah Meintsma,56555,1010,65,65.0,63.0,,-5,47,63
Nate Metzler,41220,997,62,67.0,64.0,,-5,47,62
Ian Burchett,60435,1002,69,64.0,61.0,,-4,51,61
Alden Harris,98091,1024,62,65.0,68.0,,-3,52,62
Chandler Fry,25541,1022,61,69.0,65.0,,-3,52,61
Mike Sale,46910,1003,67,64.0,64.0,,-3,52,64
Brady Och,89514,1001,64,65.0,66.0,,-3,52,64
Liam Stott,60044,998,63,62.0,70.0,,-3,52,62
Nick Hanson,40274,997,62,71.0,62.0,,-3,52,62
Colin Sexton,22547,993,62,61.0,72.0,,-3,52,61
Connor O'Reilly,99648,1013,67,62.0,67.0,,-2,59,62
Justin Anderson,55776,1006,67,64.0,65.0,,-2,59,64
Mark Chapalonis,70741,996,67,63.0,66.0,,-2,59,63
Tristan Tanner,99053,1010,63,70.0,64.0,,-1,62,63
D.J. Herrington,71239,999,68,66.0,63.0,,-1,62,63
