Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Isaac Robinson,50670,1036,58,57,59,-33,1,57
Chris Dickerson,62467,1044,63,57,58,-29,2,57
Kyle Klein,85132,1037,59,65,60,-23,3,59
Gannon Buhr,75412,1039,58,60,68,-21,4,58
Chris Clemons,50401,1030,63,60,63,-21,4,60
Paul McBeth,27523,1048,63,69,56,-19,6,63
Matthew Orum,18330,1042,62,61,65,-19,6,61
Alden Harris,98091,1023,62,64,62,-19,6,62
James Conrad,17295,1036,59,64,66,-18,9,59
Adam Hammes,57365,1035,63,62,64,-18,9,62
Jeremy Koling,33705,1021,64,63,62,-18,9,63
Austin Hannum,68835,1021,63,65,61,-18,9,63
Bradley Williams,31644,1026,66,62,62,-17,13,62
Andrew Presnell,63765,1026,66,63,61,-17,13,63
Gregg Barsby,15857,1031,68,64,59,-16,15,64
Ricky Wysocki,38008,1050,65,65,62,-15,16,65
Gavin Rathbun,60436,1026,65,64,63,-15,16,64
Matt Thompson,125969,1004,64,65,63,-15,16,64
Corey Ellis,44512,1029,66,67,60,-14,19,66
Matt Bell,48950,1023,62,65,66,-14,19,62
Connor O'Reilly,99648,1015,63,68,62,-14,19,63
Simon Lizotte,8332,1039,64,65,65,-13,22,64
AJ Carey,61770,1014,63,65,66,-13,22,63
Nate Hecker,93475,1007,65,62,68,-12,24,62
Ben Callaway,39015,1024,68,63,65,-11,25,63
Joseph Anderson,122356,1010,65,68,63,-11,25,65
Chandler Kramer,139228,1010,67,65,64,-11,25,65
Tony Moe Reiss,47136,1005,65,66,65,-11,25,65
Harper Thompson,60259,997,64,65,67,-11,25,64
Nikko Locastro,11534,1032,66,66,65,-10,30,66
Ezra Aderhold,121715,1028,65,63,69,-10,30,63
Andrew Marwede,75590,1026,66,72,59,-10,30,66
Austin Turner,54049,1020,66,65,66,-10,30,65
Joel Freeman,69509,1034,66,67,65,-9,34,66
Garrett Gurthie,13864,1030,72,66,60,-9,34,66
James Proctor,34250,1026,68,63,67,-9,34,63
Paul Ulibarri,27171,1023,66,70,62,-9,34,66
Evan Smith,101574,1023,64,68,66,-9,34,64
Ezra Robinson,50671,1021,62,69,67,-9,34,62
Eric Oakley,53565,1018,63,68,67,-9,34,63
Evan Scott,89394,1010,64,66,68,-9,34,64
Clay Edwards,91397,1004,67,67,64,-9,34,67
Noah Fiveash,99153,1004,67,67,64,-9,34,67
Brodie Smith,128378,1022,62,70,67,-8,44,62
John Willis II,23844,1003,69,64,66,-8,44,64
Chandler Fry,25541,1021,66,63,71,-7,46,63
Logan Harpool,101319,1010,68,71,61,-7,46,68
Jake Lauber,44782,1005,63,71,66,-7,46,63
Andrew Fish,58320,1022,71,63,67,-6,49,63
Albert Tamm,76669,1022,68,65,68,-6,49,65
Alex Russell,66362,1017,70,66,65,-6,49,66
Cyrus Fuhrman,30655,1012,63,69,69,-6,49,63
Drew Gibson,48346,1034,70,65,67,-5,53,65
Casey White,81739,1022,65,69,68,-5,53,65
Ty Love,89959,1013,69,74,59,-5,53,69
Luke Taylor,102119,1011,70,69,63,-5,53,69
G.T. Hancock,49885,1010,70,67,65,-5,53,67
Luke Samson,59419,1020,66,65,72,-4,58,65
Tyler Horne,16058,1008,68,66,69,-4,58,66
Brent Hannu,128231,992,71,68,64,-4,58,68
Trevor Harbolt,26860,988,65,67,71,-4,58,65
Mason Ford,72844,1031,69,65,70,-3,62,65
Grady Shue,68285,1007,63,72,69,-3,62,63
Ian Burchett,60435,1002,68,74,62,-3,62,68
Sullivan Tipton,78817,1011,69,73,63,-2,65,69
Zach Arlinghaus,65266,1003,70,70,65,-2,65,70
Justin Rosak,98161,999,71,66,68,-2,65,66
Vincent Polidori,81039,993,68,70,67,-2,65,68
Edward Ward,62387,1007,64,74,68,-1,69,64
Paul Oman,34344,1017,71,74,62,E,70,71
Jordan Castro,49431,1011,73,67,67,E,70,67
Zach Melton,38631,1009,68,71,68,E,70,68
Matthew Blakely,15410,1004,68,72,67,E,70,68
Sam Lee,78519,1003,69,65,73,E,70,65
Tim Barham,53332,1017,67,69,72,+1,75,67
Randon Latta,51685,1004,68,73,68,+2,76,68
Alan Wagner,28550,1003,69,72,68,+2,76,69
Elijah Bickel,94844,1003,74,71,65,+3,78,71
Brady Och,89514,993,73,70,67,+3,78,70
Raven Newsom,88212,1021,71,73,67,+4,80,71
Colten Montgomery,35876,1018,66,70,75,+4,80,66
Jonathan Nicholson,101390,1014,66,76,69,+4,80,66
Gavin Babcock,80331,1013,74,72,65,+4,80,72
Noah Meintsma,56555,1004,74,69,68,+4,80,69
Brad Schick,7992,1012,70,71,71,+5,85,70
Jason Lynn,46394,1004,71,68,73,+5,85,68
Aaron Gossage,35449,1027,74,72,67,+6,87,72
Matt Dollar,26045,1001,74,75,64,+6,87,74
Dustin Keegan,35187,1010,69,76,69,+7,89,69
Zackeriath Johnson,50312,1020,69,79,68,+9,90,69
Kevin Kiefer III,97115,1014,73,79,65,+10,91,73
E. Lucas Pierce,123319,1005,76,75,67,+11,92,75
Bartosz Kowalewski,68737,1007,77,72,71,+13,93,72
Benjamin Page,74914,1004,71,76,74,+14,94,71
Tristan Tanner,99053,1010,78,69,76,+16,95,69
Scott Stokely,3140,1000,85,71,70,+19,96,71
Kyle Lancaster,64531,967,69,80,77,+19,96,69
Lance Brown,58644,992,78,77,84,+32,98,77
Andrew Martin,54302,1006,72,73,999,,99,72
Anthony Barela,44382,1033,67,999,999,,100,67
