Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Eagle McMahon,37817,1050,51,51,55.0,53.0,-42,1,51
Paul McBeth,27523,1045,52,51,54.0,54.0,-41,2,51
Kevin Jones,41760,1033,57,58,56.0,56.0,-25,3,56
Niklas Anttila,91249,1030,59,54,58.0,57.0,-24,4,54
Chandler Kramer,139228,1017,58,53,59.0,59.0,-23,5,53
Jesse Nieminen,58923,1020,58,58,59.0,57.0,-20,6,58
Vaino Makela,59635,1020,57,60,60.0,55.0,-20,6,57
Calvin Heimburg,45971,1042,59,64,56.0,55.0,-18,8,56
Mikael Hame,64889,1017,61,58,58.0,57.0,-18,8,58
Kristian Kuoksa,107078,1014,58,64,59.0,53.0,-18,8,58
Lauri Lehtinen,82297,1027,59,55,64.0,57.0,-17,11,55
Ricky Wysocki,38008,1051,59,60,63.0,54.0,-16,12,59
Ezra Aderhold,121715,1029,61,55,61.0,59.0,-16,12,55
Knut Valen Haland,35070,1016,60,64,57.0,56.0,-15,14,57
Joona Heinanen,58926,1013,61,62,59.0,55.0,-15,14,59
Simon Lizotte,8332,1041,60,64,61.0,54.0,-13,16,60
Brodie Smith,128378,1020,59,57,63.0,60.0,-13,16,57
Daniel Davidsson,76456,1017,63,62,56.0,58.0,-13,16,56
Jakub Semerad,91925,1011,59,62,63.0,55.0,-13,16,59
James Conrad,17295,1039,54,64,66.0,56.0,-12,20,54
Gregg Barsby,15857,1026,54,63,62.0,61.0,-12,20,54
James Proctor,34250,1023,57,60,68.0,55.0,-12,20,57
Luke Humphries,69424,1018,60,63,58.0,59.0,-12,20,58
Eric Oakley,53565,1015,60,64,63.0,53.0,-12,20,60
Mathias Villota,103114,1006,61,59,62.0,58.0,-12,20,59
Teemu Lampainen,107567,999,62,57,63.0,58.0,-12,20,57
Severi Saviniemi,80974,999,62,60,64.0,55.0,-11,27,60
Jeremy Koling,33705,1019,62,67,57.0,57.0,-9,28,57
Leo Piironen,36099,1009,63,65,62.0,53.0,-9,28,62
Samuel Hanninen,87964,1008,61,64,58.0,60.0,-9,28,58
Elias Luukkonen,106059,1005,63,60,62.0,58.0,-9,28,60
Linus Carlsson,82098,1026,61,60,69.0,54.0,-8,32,60
AJ Carey,61770,1011,66,63,52.0,63.0,-8,32,52
Aapo Karhi,82562,991,66,57,66.0,55.0,-8,32,57
Adam Hammes,57365,1034,61,60,66.0,58.0,-7,35,60
Karl Johan Nybo,28903,1018,58,66,64.0,57.0,-7,35,58
Thomas Gilbert,85850,1027,66,60,59.0,61.0,-6,37,59
Oyvind Jarnes,41884,1022,61,58,60.0,67.0,-6,37,58
Samuel Stenman,74978,995,67,64,59.0,56.0,-6,37,59
Morten Brenna,79859,986,62,64,62.0,58.0,-6,37,62
Albert Tamm,76669,1025,60,64,59.0,64.0,-5,41,59
Niku-Petteri Mustalammi,86034,1021,67,57,62.0,61.0,-5,41,57
Mikael Rasanen,73312,996,62,61,65.0,60.0,-4,43,61
Kristian Spliid,40430,993,65,60,64.0,59.0,-4,43,60
Jalle Stoor,8992,982,60,62,63.0,63.0,-4,43,60
Seppo Paju,36744,1010,65,59,66.0,59.0,-3,46,59
Tuomas Hyytiainen,65715,1008,63,57,65.0,64.0,-3,46,57
Jasper Heino,57280,1000,67,63,60.0,59.0,-3,46,60
Tero Jaatinen,83865,1004,65,65,60.0,60.0,-2,49,60
Lenni Kemppainen,96736,996,61,59,70.0,60.0,-2,49,59
Chris Shotwell,41918,993,68,62,59.0,61.0,-2,49,59
Ville Ahokas,53538,999,64,62,62.0,63.0,-1,52,62
Rasmus Metsamaa,92779,999,59,64,65.0,63.0,-1,52,59
Silver Latt,61186,1006,59,66,65.0,62.0,E,54,59
Tuomas Autio,71845,999,65,63,61.0,64.0,+1,55,61
Pasi Koivu,41251,1004,60,61,66.0,68.0,+3,56,60
Henric Hagman,59769,995,65,61,63.0,66.0,+3,56,61
Otto Karpio,72898,983,59,60,68.0,68.0,+3,56,59
Blaer Orn Asgeirsson,80554,1009,67,59,64.0,68.0,+6,59,59
Kalle Lehtinen,80497,988,67,60,63.0,69.0,+7,60,60
Raven Newsom,88212,1021,72,55,64.0,,+2,61,55
Max Regitnig,27812,1009,68,61,62.0,,+2,61,61
Leon Sonnleitner,81120,1008,66,61,64.0,,+2,61,61
Laurenz Schaurhofer,77497,993,66,62,63.0,,+2,61,62
Heikki Saunanen,43496,990,64,60,67.0,,+2,61,60
Henri Lansivaara,98736,979,65,66,60.0,,+2,61,60
Colten Montgomery,35876,1020,66,65,61.0,,+3,67,61
Joonatan Hame,64890,1018,64,66,62.0,,+3,67,62
Oskari Vikstrom,74130,1010,63,57,72.0,,+3,67,57
Dominik Stampfer,35089,1004,68,65,59.0,,+3,67,59
Matt Bell,48950,1022,59,66,68.0,,+4,71,59
