Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Simon Lizotte,8332,1034,54,57.0,54.0,-27,1,54
Robert Burridge,96512,1009,56,56.0,53.0,-27,2,56
Kevin Jones,41760,1034,58,56.0,57.0,-21,3,56
Joel Freeman,69509,1033,55,57.0,59.0,-21,3,55
Emerson Keith,47472,1022,56,59.0,56.0,-21,3,56
Evan Smith,101574,1022,56,54.0,61.0,-21,3,54
Matthew Orum,18330,1043,53,64.0,55.0,-20,7,53
Kyle Klein,85132,1039,56,62.0,54.0,-20,7,56
Mason Ford,72844,1027,57,57.0,58.0,-20,7,57
Andrew Presnell,63765,1026,58,57.0,57.0,-20,7,57
Vaino Makela,59635,1025,57,61.0,55.0,-19,11,57
Gannon Buhr,75412,1040,61,56.0,57.0,-18,12,56
Chris Clemons,50401,1031,56,61.0,57.0,-18,12,56
Anthony Barela,44382,1030,61,57.0,56.0,-18,12,57
Chandler Kramer,139228,1021,56,63.0,55.0,-18,12,56
Paul McBeth,27523,1048,62,52.0,61.0,-17,16,52
Chris Dickerson,62467,1044,60,57.0,58.0,-17,16,57
Andrew Marwede,75590,1030,60,58.0,57.0,-17,16,58
Niklas Anttila,91249,1030,55,60.0,60.0,-17,16,55
Austin Hannum,68835,1018,62,59.0,54.0,-17,16,59
Paul Ulibarri,27171,1017,59,56.0,60.0,-17,16,56
Gregg Barsby,15857,1027,60,60.0,56.0,-16,22,60
Paul Oman,34344,1015,56,60.0,60.0,-16,22,56
Jake Lauber,44782,1005,57,60.0,59.0,-16,22,57
Justin Rosak,98161,999,56,60.0,60.0,-16,22,56
Cale Leiviska,24341,1029,64,56.0,57.0,-15,26,56
Alden Harris,98091,1028,63,55.0,59.0,-15,26,55
Alex Russell,66362,1017,59,58.0,60.0,-15,26,58
James Conrad,17295,1035,60,59.0,59.0,-14,29,59
Drew Gibson,48346,1034,64,53.0,61.0,-14,29,53
Isaac Robinson,50670,1033,57,64.0,57.0,-14,29,57
Evan Scott,89394,1015,60,59.0,59.0,-14,29,59
Jason Hebenheimer,43762,1014,56,57.0,65.0,-14,29,56
Logan Harpool,101319,1012,57,61.0,60.0,-14,29,57
Calvin Heimburg,45971,1042,60,57.0,62.0,-13,35,57
Ezra Aderhold,121715,1028,59,60.0,60.0,-13,35,59
Albert Tamm,76669,1023,59,64.0,56.0,-13,35,59
Jeremy Koling,33705,1020,57,63.0,59.0,-13,35,57
Gavin Babcock,80331,1012,65,58.0,56.0,-13,35,58
Kevin Kiefer III,97115,1011,54,67.0,58.0,-13,35,54
Scott Stokely,3140,1004,58,64.0,57.0,-13,35,58
Linus Carlsson,82098,1026,59,63.0,58.0,-12,42,59
Silas Schultz,79047,1012,62,56.0,62.0,-12,42,56
Adam Hammes,57365,1033,65,61.0,55.0,-11,44,61
Andrew Fish,58320,1018,63,60.0,58.0,-11,44,60
Nate Perkins,65737,999,60,64.0,57.0,-11,44,60
Bradley Williams,31644,1030,56,66.0,60.0,-10,47,56
Colten Montgomery,35876,1018,57,62.0,63.0,-10,47,57
Jakub Semerad,91925,1014,61,60.0,61.0,-10,47,60
AJ Carey,61770,1011,63,58.0,61.0,-10,47,58
Zach Melton,38631,1006,61,63.0,58.0,-10,47,61
Alan Wagner,28550,1003,59,65.0,58.0,-10,47,59
Austin Turner,54049,1014,57,62.0,64.0,-9,53,57
Noah Fiveash,99153,1005,58,64.0,61.0,-9,53,58
Tristan Tanner,99053,1004,59,63.0,61.0,-9,53,59
Nolan Ramser,90461,994,62,65.0,56.0,-9,53,62
Ricky Wysocki,38008,1049,61,59.0,64.0,-8,57,59
Garrett Gurthie,13864,1029,60,65.0,59.0,-8,57,60
Gavin Rathbun,60436,1029,59,61.0,64.0,-8,57,59
Connor O'Reilly,99648,1020,55,63.0,66.0,-8,57,55
Raven Newsom,88212,1018,59,62.0,63.0,-8,57,59
Jordan Castro,49431,1007,59,61.0,64.0,-8,57,59
Tuomas Hyytiainen,65715,1007,60,61.0,63.0,-8,57,60
Aaron Gossage,35449,1027,60,62.0,63.0,-7,64,60
Knut Valen Haland,35070,1016,57,65.0,63.0,-7,64,57
Corey Ellis,44512,1030,60,72.0,54.0,-6,66,60
James Proctor,34250,1022,62,62.0,62.0,-6,66,62
Ben Callaway,39015,1021,56,64.0,66.0,-6,66,56
Tim Barham,53332,1019,61,60.0,65.0,-6,66,60
