Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Ricky Wysocki,38008,1048,52,52,50,60.0,-34,1,50
Matthew Orum,18330,1043,53,56,50,58.0,-31,2,50
Chris Dickerson,62467,1043,52,55,49,61.0,-31,2,49
Isaac Robinson,50670,1030,52,53,52,60.0,-31,2,52
Paul McBeth,27523,1049,51,55,55,57.0,-30,5,51
Gannon Buhr,75412,1042,56,56,51,56.0,-29,6,51
Gregg Barsby,15857,1027,52,60,53,55.0,-28,7,52
Adam Hammes,57365,1031,54,54,56,57.0,-27,8,54
Niklas Anttila,91249,1028,58,60,51,52.0,-27,8,51
Linus Carlsson,82098,1022,53,58,53,57.0,-27,8,53
Alden Harris,98091,1030,56,65,49,53.0,-25,11,49
Bradley Williams,31644,1027,53,57,52,62.0,-24,12,52
Jason Hebenheimer,43762,1017,56,61,54,53.0,-24,12,54
Calvin Heimburg,45971,1042,57,59,55,54.0,-23,14,55
Silas Schultz,79047,1014,59,56,55,55.0,-23,14,55
Ezra Aderhold,121715,1026,56,55,57,58.0,-22,16,55
Matt Bell,48950,1020,57,60,54,55.0,-22,16,54
Connor O'Reilly,99648,1019,57,61,52,56.0,-22,16,52
Brodie Smith,128378,1022,53,60,60,54.0,-21,19,53
Austin Turner,54049,1019,59,60,52,56.0,-21,19,52
Kyle Klein,85132,1038,58,59,53,58.0,-20,21,53
Kevin Jones,41760,1034,52,61,57,59.0,-19,22,52
Chris Clemons,50401,1034,55,60,56,58.0,-19,22,55
Corey Ellis,44512,1031,55,60,58,56.0,-19,22,55
Andrew Marwede,75590,1028,54,59,55,61.0,-19,22,54
Andrew Presnell,63765,1027,56,58,58,57.0,-19,22,56
Jake Monn,98722,1007,58,61,52,58.0,-19,22,52
Anthony Barela,44382,1037,57,58,53,63.0,-17,28,53
Joel Freeman,69509,1036,56,55,59,61.0,-17,28,55
Aaron Gossage,35449,1029,55,53,57,66.0,-17,28,53
Evan Scott,89394,1017,53,60,56,62.0,-17,28,53
Finlay Buchanan-Jacobs,55953,989,56,62,54,59.0,-17,28,54
Cole Redalen,79748,1026,55,61,53,63.0,-16,33,53
James Conrad,17295,1035,58,63,51,64.0,-12,34,51
Chandler Fry,25541,1018,56,63,54,65.0,-10,35,54
Colten Montgomery,35876,1017,53,60,60,65.0,-10,35,53
Eric Oakley,53565,1018,58,54,58,69.0,-9,37,54
Thomas Gilbert,85850,1026,57,62,54,72.0,-3,38,54
Randon Latta,51685,1009,63,58,51,73.0,-3,38,51
Scott Withers,38464,1029,54,62,58,,-11,40,54
Garrett Gurthie,13864,1028,57,63,54,,-11,40,54
Emerson Keith,47472,1024,58,62,54,,-11,40,54
James Proctor,34250,1022,58,64,52,,-11,40,52
Raven Newsom,88212,1013,59,62,53,,-11,40,53
Casey White,81739,1019,53,61,61,,-10,45,53
Luke Samson,59419,1018,59,59,57,,-10,45,57
Garett Everson,98164,1009,58,64,53,,-10,45,53
Paul Oman,34344,1020,57,59,60,,-9,48,57
Andrew Fish,58320,1018,60,60,56,,-9,48,56
Kevin Kiefer III,97115,1013,61,58,57,,-9,48,57
Simon Lizotte,8332,1037,56,65,56,,-8,51,56
Vaino Makela,59635,1027,56,63,58,,-8,51,56
Luke Humphries,69424,1017,58,60,59,,-8,51,58
Alex Russell,66362,1016,59,61,57,,-8,51,57
Austin Hannum,68835,1016,58,61,58,,-8,51,58
Nate Perkins,65737,1002,61,61,55,,-8,51,55
Harry Chace,131546,1002,59,62,56,,-8,51,56
Drew Gibson,48346,1034,59,64,55,,-7,58,55
Mason Ford,72844,1030,61,59,58,,-7,58,58
AJ Carey,61770,1012,59,60,59,,-7,58,59
Zach Melton,38631,1006,61,62,55,,-7,58,55
Mark Chapalonis,70741,997,61,58,59,,-7,58,58
Ben Callaway,39015,1024,57,62,60,,-6,63,57
Chandler Kramer,139228,1024,58,62,59,,-6,63,58
Albert Tamm,76669,1023,57,63,60,,-5,65,57
Tim Barham,53332,1018,59,60,62,,-4,66,59
Steve Brinster,10628,1016,59,63,59,,-4,66,59
Knut Valen Haland,35070,1014,59,63,59,,-4,66,59
Dustin Keegan,35187,1005,56,68,57,,-4,66,56
G.T. Hancock,49885,1008,66,58,58,,-3,70,58
