Name,PDGA#,Rating,Rd1,Rd2,Rd3,Rd4,Par,Place,best_round
Simon Lizotte,8332,1037,62,52,50,,-16,1,50
Corey Ellis,44512,1031,56,52,57,,-15,2,52
Paul McBeth,27523,1049,57,57,52,,-14,3,52
Gannon Buhr,75412,1042,57,54,55,,-14,3,54
Linus Carlsson,82098,1022,56,55,56,,-13,5,55
Ricky Wysocki,38008,1048,58,56,54,,-12,6,54
Kyle Klein,85132,1038,57,59,52,,-12,6,52
Vaino Makela,59635,1027,62,52,54,,-12,6,52
Matt Bell,48950,1020,58,55,57,,-10,9,55
Jason Hebenheimer,43762,1017,57,62,51,,-10,9,51
Joel Freeman,69509,1036,62,57,52,,-9,11,52
Bradley Williams,31644,1027,58,60,53,,-9,11,53
James Conrad,17295,1035,61,56,55,,-8,13,55
Niklas Anttila,91249,1028,64,55,53,,-8,13,53
Paul Ulibarri,27171,1024,58,58,57,,-7,15,57
Raven Newsom,88212,1013,55,61,57,,-7,15,55
Andrew Marwede,75590,1028,64,56,54,,-6,17,54
Ben Callaway,39015,1024,57,55,62,,-6,17,55
Thomas Gilbert,85850,1026,59,53,63,,-5,19,53
Casey White,81739,1019,60,56,59,,-5,19,56
Jeremy Koling,33705,1022,57,65,54,,-4,21,54
James Proctor,34250,1022,58,61,57,,-4,21,57
Brodie Smith,128378,1022,60,58,58,,-4,21,58
Colten Montgomery,35876,1017,60,58,58,,-4,21,58
Dylan Capaccioli,122655,998,59,56,61,,-4,21,56
Calvin Heimburg,45971,1042,61,59,57,,-3,26,57
Garrett Gurthie,13864,1028,60,57,60,,-3,26,57
Ezra Aderhold,121715,1026,60,63,54,,-3,26,54
Jared Hill,86844,984,60,61,56,,-3,26,56
Anthony Barela,44382,1037,59,61,58,,-2,30,58
Isaac Robinson,50670,1030,62,60,56,,-2,30,56
Gregg Barsby,15857,1027,61,64,53,,-2,30,53
Cole Redalen,79748,1026,62,57,59,,-2,30,57
Gavin Babcock,80331,1016,63,61,54,,-2,30,54
Matthew Orum,18330,1043,60,62,57,,-1,35,57
Mason Ford,72844,1030,59,62,58,,-1,35,58
Jakub Semerad,91925,1017,62,59,58,,-1,35,58
Drew Gibson,48346,1034,57,64,59,,E,38,57
Andrew Fish,58320,1018,60,61,59,,E,38,59
Alden Harris,98091,1030,63,62,57,,+2,40,57
Andrew Presnell,63765,1027,65,60,57,,+2,40,57
Chris Dickerson,62467,1043,62,59,62,,+3,42,59
Aaron Gossage,35449,1029,61,58,64,,+3,42,58
Emerson Keith,47472,1024,64,61,58,,+3,42,58
Albert Tamm,76669,1023,61,65,57,,+3,42,57
Paul Oman,34344,1020,62,59,62,,+3,42,59
Austin Hannum,68835,1016,61,60,62,,+3,42,60
Chandler Kramer,139228,1024,64,60,60,,+4,48,60
Nathaniel DeLisle,87305,989,68,61,55,,+4,48,55
Adam Hammes,57365,1031,59,66,60,,+5,50,59
Chandler Fry,25541,1018,62,67,56,,+5,50,56
AJ Carey,61770,1012,61,64,60,,+5,50,60
Max Regitnig,27812,1002,63,64,58,,+5,50,58
Silver Latt,61186,1002,66,60,59,,+5,50,59
Clay Edwards,91397,1007,65,62,59,,+6,55,59
Paul Krans,132521,1006,60,60,66,,+6,55,60
Zach Melton,38631,1006,65,63,59,,+7,57,59
Kevin Jones,41760,1034,64,61,63,,+8,58,61
Chris Clemons,50401,1034,66,62,60,,+8,58,60
Knut Valen Haland,35070,1014,61,61,66,,+8,58,61
Kevin Kiefer III,97115,1013,66,62,60,,+8,58,60
Tristan Tanner,99053,1013,62,61,65,,+8,58,61
Garett Everson,98164,1009,65,66,57,,+8,58,57
Christian Olsen,60666,986,68,60,60,,+8,58,60
Kevin Kohltrain,53341,972,69,60,59,,+8,58,59
Connor O'Reilly,99648,1019,67,64,59,,+10,66,59
Luke Samson,59419,1018,67,64,59,,+10,66,59
Evan Scott,89394,1017,65,66,59,,+10,66,59
David Fleck,129332,996,61,66,66,,+13,69,61
Luke Humphries,69424,1017,75,62,57,,+14,70,57
Eric Oakley,53565,1018,69,64,62,,+15,71,62
Randon Latta,51685,1009,68,67,60,,+15,71,60
G.T. Hancock,49885,1008,68,69,58,,+15,71,58
Jake Monn,98722,1007,67,66,66,,+19,74,66
Samuel Henderson,56544,986,67,66,66,,+19,74,66
Joshua Castle,48747,969,62,65,72,,+19,74,62
Joe Luks,108469,954,66,67,66,,+19,74,66
Jerome Braun,35075,998,70,63,67,,+20,78,63
Dan Laviolette,144282,948,68,68,64,,+20,78,64
Noah Fiveash,99153,1005,67,72,70,,+29,80,67
Mason Sailer,125209,966,73,74,64,,+31,81,64
Jonathan Nicholson,101390,1015,66,67,999,,,82,66
