Name,PDGA#,Rating,Rd1,Rd2,Rd3,Rd4,Par,Place,best_round
Gannon Buhr,75412,1042,58,58,55,52,-33,1,55
Niklas Anttila,91249,1028,56,57,56,55,-32,2,56
Calvin Heimburg,45971,1042,58,59,53,57,-29,3,53
Paul McBeth,27523,1049,61,55,55,58,-27,4,55
Matthew Orum,18330,1043,61,60,56,54,-25,5,56
Isaac Robinson,50670,1030,62,59,58,54,-23,6,58
Ricky Wysocki,38008,1048,56,57,65,56,-22,7,56
Joel Freeman,69509,1036,65,60,52,57,-22,7,52
Kyle Klein,85132,1038,60,58,58,59,-21,9,58
Nate Sexton,18824,1035,62,61,55,58,-20,10,55
James Conrad,17295,1035,59,59,59,60,-19,11,59
Gavin Babcock,80331,1016,62,57,58,62,-17,12,57
Chris Dickerson,62467,1043,63,55,61,61,-16,13,55
Anthony Barela,44382,1037,67,56,55,62,-16,13,55
Alden Harris,98091,1030,58,62,59,62,-15,15,58
Bradley Williams,31644,1027,61,54,63,63,-15,15,54
Paul Ulibarri,27171,1024,63,62,61,55,-15,15,61
James Proctor,34250,1022,63,56,61,61,-15,15,56
Joona Heinanen,58926,1024,73,57,53,59,-14,19,53
Jake Monn,98722,1007,58,55,66,63,-14,19,55
Kevin Jones,41760,1034,67,57,62,57,-13,21,57
Ben Callaway,39015,1024,63,60,60,60,-13,21,60
Andrew Marwede,75590,1028,59,60,58,67,-12,23,58
Ezra Aderhold,121715,1026,66,60,56,62,-12,23,56
Emerson Keith,47472,1024,60,65,58,61,-12,23,58
Chris Clemons,50401,1034,60,59,63,63,-11,26,59
Corey Ellis,44512,1031,62,55,65,63,-11,26,55
Vaino Makela,59635,1027,64,63,64,55,-10,28,63
Andrew Presnell,63765,1027,63,61,61,61,-10,28,61
Brodie Smith,128378,1022,60,59,62,65,-10,28,59
Jakub Semerad,91925,1017,61,59,65,62,-9,31,59
Adam Hammes,57365,1031,62,60,59,67,-8,32,59
Linus Carlsson,82098,1022,66,65,61,56,-8,32,61
Luke Samson,59419,1018,64,59,64,61,-8,32,59
Garrett Gurthie,13864,1028,57,67,61,64,-7,35,57
Luke Humphries,69424,1017,61,63,63,62,-7,35,61
Ezra Robinson,50671,1013,59,63,65,62,-7,35,59
Tristan Tanner,99053,1013,63,59,57,70,-7,35,57
Robert Burridge,96512,1009,62,64,66,57,-7,35,62
Gavin Rathbun,60436,1028,65,63,62,60,-6,40,62
Albert Tamm,76669,1023,62,60,64,64,-6,40,60
Garett Everson,98164,1009,64,70,56,60,-6,40,56
Mason Ford,72844,1030,63,60,63,65,-5,43,60
Matt Thompson,125969,1002,62,63,69,58,-4,44,62
Drew Gibson,48346,1034,65,57,71,60,-3,45,57
Sullivan Tipton,78817,1018,59,67,66,61,-3,45,59
Jason Hebenheimer,43762,1017,60,62,62,69,-3,45,60
Parker Welck,39491,1007,63,67,61,62,-3,45,61
Cody Kirkland,28198,1011,67,62,61,64,-2,49,61
Tuomas Hyytiainen,65715,1009,64,65,62,63,-2,49,62
David Feldberg,12626,1027,67,64,62,62,-1,51,62
Gregg Barsby,15857,1027,60,61,60,74,-1,51,60
Travis Head,47837,1009,65,63,63,64,-1,51,63
Noah Fiveash,99153,1005,57,69,64,65,-1,51,57
Austin Turner,54049,1019,62,65,67,62,E,55,62
G.T. Hancock,49885,1008,69,62,69,56,E,55,62
Simon Lizotte,8332,1037,58,66,70,63,+1,57,58
Eric Oakley,53565,1018,64,62,65,67,+2,58,62
Jeremy Koling,33705,1022,64,64,62,69,+3,59,62
Paul Oman,34344,1020,63,66,65,65,+3,59,63
Mauri Villmann,107197,1002,63,64,68,64,+3,59,63
Evan Smith,101574,1027,65,67,63,65,+4,62,63
Aaron Gossage,35449,1029,65,63,71,62,+5,63,63
Jesse Nieminen,58923,1023,66,72,61,63,+6,64,61
Barry Schultz,6840,1022,70,67,63,62,+6,64,63
Alex Russell,66362,1016,67,61,68,66,+6,64,61
Paul Krans,132521,1006,62,69,68,63,+6,64,62
Justin Rosak,98161,998,64,69,64,65,+6,64,64
Kevin Kiefer III,97115,1013,62,68,67,67,+8,69,62
AJ Carey,61770,1012,66,71,66,61,+8,69,66
Thomas Gilbert,85850,1026,70,67,68,60,+9,71,67
Knut Valen Haland,35070,1014,65,63,65,73,+10,72,63
Steve Brinster,10628,1016,70,64,66,67,+11,73,64
Scott Withers,38464,1029,69,68,62,70,+13,74,62
Chandler Fry,25541,1018,71,62,68,68,+13,74,62
Austin Hannum,68835,1016,74,59,68,68,+13,74,59
Joseph Anderson,122356,1015,68,68,65,68,+13,74,65
Silas Schultz,79047,1014,73,68,65,64,+14,78,65
John Willis II,23844,1003,66,75,68,61,+14,78,66
Chandler Kramer,139228,1024,66,60,75,70,+15,80,60
Randon Latta,51685,1009,68,67,70,66,+15,80,67
Carter Ahrens,88279,1008,65,66,73,67,+15,80,65
Connor O'Reilly,99648,1019,70,67,67,68,+16,83,67
Max Regitnig,27812,1002,64,69,68,71,+16,83,64
Cole Redalen,79748,1026,74,68,67,65,+18,85,67
William Hannu,78136,992,68,69,75,62,+18,85,68
Kristian Kuoksa,107078,1022,75,69,66,66,+20,87,66
Henar Ruudna,93817,1002,71,66,69,71,+21,88,66
Ilkin Groh,145831,990,73,60,67,77,+21,88,60
Joe Vander Veen,132408,988,71,67,66,73,+21,88,66
Mike Sale,46910,1008,68,68,73,70,+23,91,68
Ian Burchett,60435,1004,63,75,70,72,+24,92,63
Aaron Doyle,32750,1007,74,69,69,69,+25,93,69
Jacob Courtis,56511,1007,75,66,80,71,+36,94,66
Brandon Holsworth,175193,990,71,81,71,76,+43,95,71
Alex Ziros,117793,976,78,79,72,76,+49,96,72
