Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Drew Gibson,48346,1035,52,48,53.0,48.0,-39,1,48
Gannon Buhr,75412,1027,47,52,51.0,51.0,-39,2,47
Calvin Heimburg,45971,1047,48,51,57.0,48.0,-36,3,48
Kevin Jones,41760,1037,48,54,55.0,48.0,-35,4,48
Luke Humphries,69424,1013,51,53,53.0,48.0,-35,4,51
Tristan Tanner,99053,1001,50,54,50.0,52.0,-34,6,50
Ricky Wysocki,38008,1054,48,55,51.0,54.0,-32,7,48
Adam Hammes,57365,1040,48,57,54.0,49.0,-32,7,48
Scott Withers,38464,1035,49,56,50.0,53.0,-32,7,49
Thomas Gilbert,85850,1026,53,53,55.0,48.0,-31,10,53
Luke Samson,59419,1016,52,53,53.0,51.0,-31,10,52
Chris Dickerson,62467,1045,46,55,57.0,52.0,-30,12,46
Nikko Locastro,11534,1032,51,54,55.0,50.0,-30,12,51
Colten Montgomery,35876,1021,51,55,53.0,51.0,-30,12,51
Ezra Aderhold,121715,1021,53,53,52.0,52.0,-30,12,52
Garrett Gurthie,13864,1029,49,56,51.0,55.0,-29,16,49
Linus Carlsson,82098,1035,51,51,57.0,53.0,-28,17,51
Chandler Fry,25541,1021,50,55,54.0,53.0,-28,17,50
Chris Pinegar,74719,1020,48,56,55.0,53.0,-28,17,48
Noah Meintsma,56555,1012,54,50,56.0,52.0,-28,17,50
Eagle McMahon,37817,1053,47,55,51.0,60.0,-27,21,47
Anthony Barela,44382,1026,49,51,54.0,59.0,-27,21,49
James Conrad,17295,1035,50,57,55.0,52.0,-26,23,50
Kyle Klein,85132,1039,55,54,54.0,52.0,-25,24,54
Bo Tillman,46480,1004,50,57,53.0,55.0,-25,24,50
James Proctor,34250,1034,51,56,55.0,54.0,-24,26,51
Bradley Williams,31644,1031,50,55,53.0,58.0,-24,26,50
Andrew Presnell,63765,1030,50,56,56.0,54.0,-24,26,50
Cole Redalen,79748,1025,54,54,54.0,54.0,-24,26,54
Casey White,81739,1021,54,55,52.0,55.0,-24,26,52
Seppo Paju,36744,1016,48,60,56.0,52.0,-24,26,48
Connor O'Reilly,99648,1014,51,58,56.0,51.0,-24,26,51
Kade Filimoehala,104984,1003,53,52,57.0,54.0,-24,26,52
Jeremy Koling,33705,1028,49,58,57.0,53.0,-23,34,49
Oyvind Jarnes,41884,1017,55,56,52.0,54.0,-23,34,52
Albert Tamm,76669,1017,50,56,55.0,56.0,-23,34,50
Nate Sexton,18824,1034,51,57,56.0,54.0,-22,37,51
Brodie Smith,128378,1017,48,58,53.0,59.0,-22,37,48
Alex Russell,66362,1020,52,57,53.0,57.0,-21,39,52
AJ Carey,61770,1010,49,58,56.0,56.0,-21,39,49
Paul Ulibarri,27171,1029,55,54,55.0,56.0,-20,41,54
Zackeriath Johnson,50312,1023,53,51,56.0,60.0,-20,41,51
Jordan Castro,49431,1015,53,56,54.0,57.0,-20,41,53
Cody Kirkland,28198,1012,54,56,55.0,55.0,-20,41,54
Zach Melton,38631,1010,52,57,56.0,55.0,-20,41,52
Parker Welck,39491,995,52,53,57.0,58.0,-20,41,52
Kevin Kiefer III,97115,1014,51,57,55.0,58.0,-19,47,51
Connor Rock,73695,995,52,56,56.0,59.0,-17,48,52
Andrew Marwede,75590,1028,55,55,55.0,59.0,-16,49,55
Cale Leiviska,24341,1036,52,57,57.0,,-13,50,52
Alden Harris,98091,1021,57,52,57.0,,-13,50,52
Peter Lunde,72576,1013,48,58,60.0,,-13,50,48
Dustin Keegan,35187,1012,49,57,61.0,,-12,53,49
Bartosz Kowalewski,68737,1002,55,58,54.0,,-12,53,54
Matt Bell,48950,1024,50,57,61.0,,-11,55,50
Andrew Miranda,118426,991,55,57,56.0,,-11,55,55
Aaron Gossage,35449,1019,57,53,59.0,,-10,57,53
Noah Fiveash,99153,1001,50,60,59.0,,-10,57,50
Brett Mierzejewski Stetson,79063,998,50,59,60.0,,-10,57,50
Vincent Polidori,81039,1008,53,60,57.0,,-9,60,53
Landen Mortensen,119084,992,55,61,54.0,,-9,60,54
Corey Ellis,44512,1029,57,58,56.0,,-8,62,56
Silver Latt,61186,1007,53,55,63.0,,-8,62,53
Martin Hendel,39469,1023,52,61,59.0,,-7,64,52
Knut Valen Haland,35070,1015,51,56,65.0,,-7,64,51
Chris Clemons,50401,1029,53,60,60.0,,-6,66,53
Gregg Barsby,15857,1027,56,55,62.0,,-6,66,55
Austin Hannum,68835,1017,52,60,61.0,,-6,66,52
Levi Hancock,103050,1006,53,61,59.0,,-6,66,53
Ezra Hapner,25000,974,52,58,63.0,,-6,66,52
Blaer Orn Asgeirsson,80554,1008,53,62,59.0,,-5,71,53
Clint Calvin,84958,1020,53,61,61.0,,-4,72,53
Alexander Lyon,80636,996,57,62,56.0,,-4,72,56
Emerson Keith,47472,1024,53,62,61.0,,-3,74,53
Tim Barham,53332,1023,56,59,61.0,,-3,74,56
Tyler Schrock,71872,994,57,59,60.0,,-3,74,57
Hjalte Jensen,129061,993,56,63,57.0,,-3,74,56
Maximus Meyer,49865,989,50,63,63.0,,-3,74,50
James Beckner,49519,983,52,59,65.0,,-3,74,52
Jake Spencer,76396,973,53,59,64.0,,-3,74,53
Evald Sandermoen Owre,124269,959,58,55,63.0,,-3,74,55
Christopher Keseloff,91498,1008,49,65,63.0,,-2,82,49
Jacky Chen,128836,994,52,63,62.0,,-2,82,52
Jared Stoll,68103,975,52,62,63.0,,-2,82,52
Tim Skellenger,26269,1006,57,60,61.0,,-1,85,57
Daniel Brooks-Wells,79228,1006,48,64,66.0,,-1,85,48
Nate Perkins,65737,1005,54,69,55.0,,-1,85,54
Jacob Courtis,56511,1000,52,64,62.0,,-1,85,52
DW Hass,94907,999,56,64,58.0,,-1,85,56
Scott Stokely,3140,992,55,67,56.0,,-1,85,55
Chris Ozolins,55049,1011,55,62,62.0,,E,91,55
Jared Henderson,126148,1001,59,58,62.0,,E,91,58
Kevin Sheehan,62461,989,55,65,60.0,,+1,93,55
Gavin Babcock,80331,1006,51,58,72.0,,+2,94,51
Kaleb Caplin,109666,992,53,70,58.0,,+2,94,53
Cary Trotter,19147,985,53,67,61.0,,+2,94,53
Tanner Dorner,97178,998,60,64,58.0,,+3,97,58
Jeffrey McCormick,116860,972,56,61,65.0,,+3,97,56
Justin Gilbert,85457,990,56,66,61.0,,+4,99,56
Hayden Kujala,92973,982,61,58,64.0,,+4,99,58
Joseph Haggard,103220,973,56,66,62.0,,+5,101,56
Steve Berger,28091,980,60,64,61.0,,+6,102,60
Olav Andre Brekke,77173,970,61,60,64.0,,+6,102,60
Brandon Hauer,55021,981,57,66,65.0,,+9,104,57
Josh Bergquist,72478,968,54,66,68.0,,+9,104,54
Chris Warfield,52439,972,58,67,66.0,,+12,106,58
Colby Andersen,54246,976,55,67,70.0,,+13,107,55
Sawyer Bracy,36594,974,58,73,61.0,,+13,107,58
Tyler Winston,93845,971,54,69,69.0,,+13,107,54
Rick Mabbatt,97168,961,59,68,65.0,,+13,107,59
Andy Wacha,70581,976,55,73,66.0,,+15,111,55
Jarod O'Brien,92426,981,65,66,65.0,,+17,112,65
Joey Nichols,103115,922,72,75,74.0,,+42,113,72
Nathan Queen,68286,1027,48,57,999.0,,,114,48
Brent Waters,75658,970,58,64,999.0,,,114,58
Mike Sale,46910,1006,59,999,,,,116,59
Mason Foltz,84401,994,56,999,,,,116,56
Sean Tapley,87506,974,58,999,,,,116,58
