Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Paul McBeth,27523,1050,55,54,57.0,-23,1,54
Luke Humphries,69424,1016,55,55,59.0,-20,2,55
Joel Freeman,69509,1033,58,57,57.0,-17,3,57
Chris Clemons,50401,1025,61,55,56.0,-17,3,55
Chris Dickerson,62467,1043,59,52,62.0,-16,5,52
Cale Leiviska,24341,1035,61,54,58.0,-16,5,54
Isaac Robinson,50670,1032,59,56,58.0,-16,5,56
Thomas Gilbert,85850,1027,61,59,53.0,-16,5,59
Aaron Gossage,35449,1019,63,56,54.0,-16,5,56
Nikko Locastro,11534,1034,59,57,58.0,-15,10,57
Alex Russell,66362,1021,61,56,57.0,-15,10,56
Ricky Wysocki,38008,1053,58,58,59.0,-14,12,58
James Conrad,17295,1036,60,57,58.0,-14,12,57
Charles Moore,78268,1007,61,58,56.0,-14,12,58
Mason Ford,72844,1034,58,59,59.0,-13,15,58
Calvin Heimburg,45971,1048,63,55,59.0,-12,16,55
Kyle Klein,85132,1040,64,60,53.0,-12,16,60
Bradley Williams,31644,1031,59,56,62.0,-12,16,56
Lauri Lehtinen,82297,1028,65,56,56.0,-12,16,56
Matt Bell,48950,1023,61,54,62.0,-12,16,54
Kevin Jones,41760,1039,63,59,56.0,-11,21,59
Linus Carlsson,82098,1035,64,54,60.0,-11,21,54
Andrew Fish,58320,1026,57,60,61.0,-11,21,57
Clay Edwards,91397,1001,61,58,59.0,-11,21,58
Gannon Buhr,75412,1037,58,61,60.0,-10,25,58
Paul Oman,34344,1013,62,57,60.0,-10,25,57
Justin Rosak,98161,1003,64,61,54.0,-10,25,61
Andrew Presnell,63765,1032,61,56,63.0,-9,28,56
Cole Redalen,79748,1026,68,60,52.0,-9,28,60
Albert Tamm,76669,1018,61,58,61.0,-9,28,58
Noah Meintsma,56555,1012,64,60,56.0,-9,28,60
Vincent Polidori,81039,1008,61,59,60.0,-9,28,59
Ty Love,89959,1008,61,57,62.0,-9,28,57
Scott Withers,38464,1036,62,58,61.0,-8,34,58
Garrett Gurthie,13864,1030,62,56,63.0,-8,34,56
Mikael Hame,64889,1021,63,55,63.0,-8,34,55
Alden Harris,98091,1020,66,58,57.0,-8,34,58
Connor O'Reilly,99648,1015,66,58,57.0,-8,34,58
Chandler Fry,25541,1026,67,55,60.0,-7,39,55
Andrew Marwede,75590,1026,65,57,60.0,-7,39,57
Emerson Keith,47472,1021,62,60,60.0,-7,39,60
Harper Thompson,60259,1006,58,62,62.0,-7,39,58
Ian Burchett,60435,1001,59,60,63.0,-7,39,59
Zackeriath Johnson,50312,1022,64,58,61.0,-6,44,58
Terry Rothlisberger,57493,1018,64,60,59.0,-6,44,60
Dustin Keegan,35187,1014,70,59,54.0,-6,44,59
Zach Melton,38631,1011,68,58,57.0,-6,44,58
Chandler Kramer,139228,1007,62,60,61.0,-6,44,60
Zane Letts,57544,1005,64,59,60.0,-6,44,59
Jeremy Koling,33705,1027,63,61,60.0,-5,50,61
Tim Barham,53332,1021,65,59,60.0,-5,50,59
Casey White,81739,1021,64,57,63.0,-5,50,57
Luke Samson,59419,1019,66,58,60.0,-5,50,58
Michael Johansen,20300,1018,68,56,60.0,-5,50,56
Knut Valen Haland,35070,1013,60,61,63.0,-5,50,60
AJ Carey,61770,1011,65,60,60.0,-4,56,60
Nathan Queen,68286,1027,70,54,62.0,-3,57,54
Jonathan Nicholson,101390,1014,65,58,63.0,-3,57,58
Mike Laitala,43081,1011,67,57,62.0,-3,57,57
Simon Lizotte,8332,1032,61,61,65.0,-2,60,61
Ben Callaway,39015,1024,64,54,69.0,-2,60,54
Patrick Brown,25713,1007,66,61,60.0,-2,60,61
Nate Perkins,65737,1005,63,62,62.0,-2,60,62
Nicholas Carl,82935,1005,55,68,64.0,-2,60,55
Brandon Cawthorne,60069,1000,66,57,64.0,-2,60,57
Scott Stokely,3140,995,60,67,61.0,-1,66,60
Nicholas Rowton,34180,1019,61,58,70.0,E,67,58
Randon Latta,51685,1002,65,57,67.0,E,67,57
Max Regitnig,27812,1001,66,63,60.0,E,67,63
Corey Ellis,44512,1028,68,64,58.0,+1,70,64
Colten Montgomery,35876,1023,68,64,58.0,+1,70,64
Kevin Kiefer III,97115,1014,65,61,64.0,+1,70,61
Seth Talbott,114877,1006,67,62,61.0,+1,70,62
Levi Hancock,103050,1005,74,57,59.0,+1,70,57
Evan Scott,89394,999,71,58,61.0,+1,70,58
Brent Hannu,128231,987,69,58,63.0,+1,70,58
Adam Hammes,57365,1041,69,57,65.0,+2,77,57
Jordan Castro,49431,1017,62,65,64.0,+2,77,62
Alexander Krause,100061,1008,66,62,63.0,+2,77,62
Silver Latt,61186,1007,65,60,66.0,+2,77,60
Blaer Orn Asgeirsson,80554,1007,68,65,59.0,+3,81,65
