Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Ricky Wysocki,38008,1053,55,52,53,-29,1,52
Calvin Heimburg,45971,1048,53,52,56,-28,2,52
Gregg Barsby,15857,1025,54,56,54,-25,3,54
James Conrad,17295,1036,53,57,58,-21,4,53
Joel Freeman,69509,1033,55,59,54,-21,4,55
Jeremy Koling,33705,1027,56,57,59,-17,6,56
Gannon Buhr,75412,1037,56,61,56,-16,7,56
Paul McBeth,27523,1050,51,63,60,-15,8,51
Chris Dickerson,62467,1043,56,57,61,-15,8,56
Emerson Keith,47472,1021,54,58,62,-15,8,54
G.T. Hancock,49885,1012,56,58,61,-14,11,56
John Willis II,23844,1004,61,61,53,-14,11,61
Nikko Locastro,11534,1034,59,58,59,-13,13,58
Casey White,81739,1021,57,60,59,-13,13,57
Matthew Orum,18330,1044,59,61,57,-12,15,59
Niklas Anttila,91249,1032,58,56,63,-12,15,56
Corey Ellis,44512,1028,59,57,61,-12,15,57
Alex Russell,66362,1021,57,59,61,-12,15,57
Connor O'Reilly,99648,1015,61,56,60,-12,15,56
Mason Ford,72844,1034,58,66,54,-11,20,58
Andrew Marwede,75590,1026,59,61,58,-11,20,59
Alden Harris,98091,1020,56,60,62,-11,20,56
Kevin Jones,41760,1039,63,57,59,-10,23,57
Terry Rothlisberger,57493,1018,59,58,62,-10,23,58
Kyle Klein,85132,1040,62,57,61,-9,25,57
Cale Leiviska,24341,1035,60,62,58,-9,25,60
Nate Sexton,18824,1033,57,62,61,-9,25,57
Cameron Colglazier,47407,1031,60,60,60,-9,25,60
Chris Clemons,50401,1025,58,61,61,-9,25,58
Knut Valen Haland,35070,1013,58,63,59,-9,25,58
Gavin Babcock,80331,1007,59,63,58,-9,25,59
Tristan Tanner,99053,1005,56,65,59,-9,25,56
Isaac Marrs,65220,992,59,64,57,-9,25,59
Zackeriath Johnson,50312,1022,61,60,60,-8,34,60
Jason Hebenheimer,43762,1000,56,63,62,-8,34,56
Lauri Lehtinen,82297,1028,60,61,61,-7,36,60
Mikael Hame,64889,1021,62,61,59,-7,36,61
Brodie Smith,128378,1020,60,62,60,-7,36,60
Michael Johansen,20300,1018,63,61,58,-7,36,61
Albert Tamm,76669,1018,65,58,59,-7,36,58
Dustin Keegan,35187,1014,59,61,62,-7,36,59
Jonathan Nicholson,101390,1014,63,59,60,-7,36,59
Paul Oman,34344,1013,60,65,57,-7,36,60
Max Regitnig,27812,1001,63,57,62,-7,36,57
Vaino Makela,59635,1027,61,60,62,-6,45,60
Luke Humphries,69424,1016,59,63,61,-6,45,59
Austin Hannum,68835,1015,62,60,61,-6,45,60
Chandler Kramer,139228,1007,63,61,59,-6,45,61
Nate Perkins,65737,1005,62,57,64,-6,45,57
Adam Hammes,57365,1041,57,66,61,-5,50,57
Cole Redalen,79748,1026,58,66,60,-5,50,58
Austin Turner,54049,1025,60,65,59,-5,50,60
Colten Montgomery,35876,1023,60,59,65,-5,50,59
Aaron Gossage,35449,1019,61,62,61,-5,50,61
Charles Moore,78268,1007,62,61,61,-5,50,61
Randon Latta,51685,1002,58,60,66,-5,50,58
Micah Groth,113179,1002,60,67,57,-5,50,60
Andrew Fish,58320,1026,58,63,64,-4,58,58
Matt Bell,48950,1023,61,59,65,-4,58,59
Clay Edwards,91397,1001,63,61,61,-4,58,61
Linus Carlsson,82098,1035,58,66,62,-3,61,58
Clint Calvin,84958,1015,61,60,65,-3,61,60
Fredy Meza,100497,1012,61,67,58,-3,61,61
Blaer Orn Asgeirsson,80554,1007,65,64,57,-3,61,64
Evan Scott,89394,999,59,60,67,-3,61,59
Chandler Fry,25541,1026,62,63,62,-2,66,62
Ben Callaway,39015,1024,59,61,67,-2,66,59
Andrew Miranda,118426,999,62,62,63,-2,66,62
Justin Gilbert,85457,990,59,61,67,-2,66,59
Ezra Aderhold,121715,1023,70,60,58,-1,70,60
Luke Samson,59419,1019,59,62,67,-1,70,59
Alexander Krause,100061,1008,63,60,65,-1,70,60
Kevin Kiefer III,97115,1014,57,60,72,E,73,57
Noah Meintsma,56555,1012,65,65,59,E,73,65
Levi Hancock,103050,1005,59,62,68,E,73,59
Scott Stokely,3140,995,61,67,61,E,73,61
Jake Monn,98722,992,62,65,62,E,73,62
Eli Swansen,128050,987,67,60,62,E,73,60
Miles Seaborn,29264,1024,63,60,67,+1,79,60
AJ Carey,61770,1011,59,65,66,+1,79,59
Chris Harris,37146,1008,62,67,61,+1,79,62
Silver Latt,61186,1007,62,67,61,+1,79,62
Silas Schultz,79047,1007,66,61,63,+1,79,61
Alan Wagner,28550,1004,64,63,63,+1,79,63
Bradley Williams,31644,1031,65,60,66,+2,85,60
Trevon Crowe,67172,996,61,67,63,+2,85,61
Isaiah Morava,114044,975,63,64,64,+2,85,63
Garrett Gurthie,13864,1030,63,63,66,+3,88,63
Scott Conway,38603,1004,65,63,64,+3,88,63
Nathan Queen,68286,1027,65,60,68,+4,90,60
Christopher Farnham,17686,1001,69,65,59,+4,90,65
Benjamin Stemen,100815,1009,67,67,60,+5,92,67
Kristo Raik,85483,993,66,58,70,+5,92,58
Calvin Pettigrew,31818,983,64,65,65,+5,92,64
Seth Talbott,114877,1006,63,67,65,+6,95,63
Mark Chapalonis,70741,996,62,72,61,+6,95,62
Marshall Blanks,56886,999,66,66,64,+7,97,66
Luukas Rokkanen,64917,1022,66,64,67,+8,98,64
Noah Fiveash,99153,1002,67,62,68,+8,98,62
Brandon Cawthorne,60069,1000,66,66,66,+9,100,66
DW Hass,94907,998,66,66,66,+9,100,66
Daniel Sharbono,94246,992,68,66,64,+9,100,66
Matthew Barajas,71050,990,66,65,68,+10,103,65
Carter Ahrens,88279,986,67,67,65,+10,103,67
Justin Freeman,33878,971,64,68,67,+10,103,64
Jason Mathe,98861,970,67,66,66,+10,103,66
Chase Steed,93333,982,64,69,67,+11,107,64
Peter Lunde,72576,1013,63,70,68,+12,108,63
Tanner Dorner,97178,999,68,67,67,+13,109,67
Tanner Girouard,88077,999,70,66,67,+14,110,66
Brandon Hauer,55021,981,66,67,70,+14,110,66
Tyler Wozniak,92805,976,67,64,72,+14,110,64
Kirk Trevena,45433,984,69,70,65,+15,113,69
Alexander Eketrapp,108688,970,68,68,69,+16,114,68
Billy Engel,44458,992,70,67,69,+17,115,67
Clint Johnson,112176,955,70,65,71,+17,115,65
Neil Bishop,104998,985,72,63,72,+18,117,63
Michael Goodwin,190229,964,70,69,68,+18,117,69
Lance Brown,58644,999,62,75,71,+19,119,62
Seth Johnson,32210,940,72,73,65,+21,120,72
Niko Rattya,52488,1005,63,73,76,+23,121,63
Anthony AP Perkins,71308,978,72,62,78,+23,121,62
Kyle Serres,113822,968,69,74,72,+26,123,69
Ryan Travis,154621,908,74,75,71,+31,124,74
Marc Burnett,22546,999,63,92,66,+32,125,63
Tommy Koons,29107,948,81,73,69,+34,126,73
Joe Bishop,49211,944,72,74,77,+34,126,72
Thomas Gilbert,85850,1027,66,63,999,,128,63
Coda Hatfield,23651,1004,66,67,999,,128,66
Jesse Ginthum,49975,988,68,999,999,,130,68
Paul Ulibarri,27171,1029,999,999,999,,131,999
