Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Calvin Heimburg,45971,1050,56,55.0,55.0,-26,1,55
Paul McBeth,27523,1053,57,55.0,54.0,-26,2,55
Kevin Jones,41760,1036,55,58.0,54.0,-25,3,55
Chris Dickerson,62467,1046,57,58.0,54.0,-23,4,57
Gannon Buhr,75412,1034,55,60.0,55.0,-22,5,55
Matthew Orum,18330,1042,59,56.0,57.0,-20,6,56
Joel Freeman,69509,1034,57,57.0,58.0,-20,6,57
Simon Lizotte,8332,1030,63,51.0,58.0,-20,6,51
Alden Harris,98091,1024,53,60.0,59.0,-20,6,53
Ricky Wysocki,38008,1053,59,58.0,56.0,-19,10,58
Thomas Gilbert,85850,1028,56,61.0,56.0,-19,10,56
Ezra Aderhold,121715,1026,56,60.0,57.0,-19,10,56
Lauri Lehtinen,82297,1029,57,58.0,59.0,-18,13,57
Mason Ford,72844,1028,60,56.0,58.0,-18,13,56
James Conrad,17295,1038,57,58.0,60.0,-17,15,57
Nikko Locastro,11534,1036,59,59.0,57.0,-17,15,59
Corey Ellis,44512,1027,56,60.0,59.0,-17,15,56
Emerson Keith,47472,1023,58,56.0,62.0,-16,18,56
Casey White,81739,1022,60,58.0,58.0,-16,18,58
Anthony Barela,44382,1032,64,56.0,57.0,-15,20,56
Ben Callaway,39015,1023,59,61.0,57.0,-15,20,59
Knut Valen Haland,35070,1012,58,56.0,63.0,-15,20,56
AJ Carey,61770,1012,56,62.0,59.0,-15,20,56
Jason Hebenheimer,43762,1005,58,59.0,60.0,-15,20,58
Kyle Klein,85132,1040,57,62.0,59.0,-14,25,57
Adam Hammes,57365,1039,59,61.0,58.0,-14,25,59
Brodie Smith,128378,1020,57,60.0,61.0,-14,25,57
Ezra Robinson,50671,1014,60,58.0,60.0,-14,25,58
Garrett Gurthie,13864,1026,60,58.0,61.0,-13,29,58
Drew Gibson,48346,1039,60,58.0,62.0,-12,30,58
Bradley Williams,31644,1028,59,59.0,63.0,-11,31,59
Chris Clemons,50401,1028,60,58.0,63.0,-11,31,58
Matt Bell,48950,1024,56,63.0,62.0,-11,31,56
Luke Humphries,69424,1020,59,63.0,59.0,-11,31,59
Albert Tamm,76669,1019,57,62.0,62.0,-11,31,57
Austin Hannum,68835,1016,64,59.0,58.0,-11,31,59
Kevin Kiefer III,97115,1013,61,63.0,57.0,-11,31,61
Eric Oakley,53565,1019,60,61.0,61.0,-10,38,60
Jonathan Nicholson,101390,1014,59,65.0,58.0,-10,38,59
G.T. Hancock,49885,1011,64,61.0,57.0,-10,38,61
Levi Hancock,103050,1006,61,64.0,57.0,-10,38,61
Randon Latta,51685,1003,57,65.0,60.0,-10,38,57
Nate Sexton,18824,1032,61,60.0,62.0,-9,43,60
Aaron Gossage,35449,1026,58,63.0,62.0,-9,43,58
Vaino Makela,59635,1022,61,63.0,59.0,-9,43,61
Zackeriath Johnson,50312,1023,63,64.0,57.0,-8,46,63
Colten Montgomery,35876,1021,59,64.0,61.0,-8,46,59
Tim Barham,53332,1018,60,60.0,64.0,-8,46,60
Tristan Tanner,99053,1007,60,59.0,65.0,-8,46,59
Max Regitnig,27812,1003,60,61.0,63.0,-8,46,60
Linus Carlsson,82098,1028,60,61.0,64.0,-7,51,60
Joey Lutz,45887,1016,62,61.0,62.0,-7,51,61
Zach Melton,38631,1010,61,62.0,62.0,-7,51,61
Bartosz Kowalewski,68737,1002,60,63.0,62.0,-7,51,60
Noah Fiveash,99153,1001,62,61.0,62.0,-7,51,61
Andrew Marwede,75590,1028,61,64.0,61.0,-6,56,61
Gavin Rathbun,60436,1026,58,65.0,63.0,-6,56,58
Luke Samson,59419,1019,62,65.0,59.0,-6,56,62
Jeremy Koling,33705,1025,62,61.0,64.0,-5,59,61
Nathan Queen,68286,1025,61,64.0,62.0,-5,59,61
Gavin Babcock,80331,1010,60,63.0,64.0,-5,59,60
Christian Camp,91280,994,62,62.0,63.0,-5,59,62
Scott Withers,38464,1035,64,64.0,60.0,-4,63,64
Andrew Presnell,63765,1029,60,62.0,66.0,-4,63,60
Dan Hastings,33504,1014,62,63.0,63.0,-4,63,62
Logan Bowers,31536,1007,65,59.0,64.0,-4,63,59
Silas Schultz,79047,1005,65,62.0,61.0,-4,63,62
Chris Nelson,78697,1021,59,65.0,65.0,-3,68,59
Connor O'Reilly,99648,1016,64,63.0,62.0,-3,68,63
Chandler Kramer,139228,1008,59,66.0,64.0,-3,68,59
Paul Ulibarri,27171,1026,61,66.0,63.0,-2,71,61
Philo Brathwaite,26416,1016,62,65.0,63.0,-2,71,62
Josh Coghill,63364,997,59,69.0,62.0,-2,71,59
Chandler Fry,25541,1026,64,63.0,64.0,-1,74,63
Cole Redalen,79748,1026,57,67.0,67.0,-1,74,57
Dustin Keegan,35187,1016,66,65.0,60.0,-1,74,65
Noah Meintsma,56555,1014,65,67.0,59.0,-1,74,65
Blaer Orn Asgeirsson,80554,1012,66,62.0,63.0,-1,74,62
Ian Burchett,60435,1002,58,66.0,67.0,-1,74,58
Tuomas Hyytiainen,65715,1002,63,68.0,60.0,-1,74,63
John Willis II,23844,1001,68,62.0,61.0,-1,74,62
Austin Turner,54049,1022,67,63.0,62.0,E,82,63
Dylan Seppala,124138,993,63,65.0,64.0,E,82,63
Luukas Rokkanen,64917,1014,65,64.0,64.0,+1,84,64
Sullivan Tipton,78817,1008,64,67.0,62.0,+1,84,64
Caleb Bruce,101944,1000,63,69.0,61.0,+1,84,63
Thunder Schultz,56016,996,67,67.0,59.0,+1,84,67
Alan Wagner,28550,1003,63,68.0,63.0,+2,88,63
Sam Lee,78519,1001,66,62.0,66.0,+2,88,62
Jonathan Fletcher,65940,992,64,64.0,66.0,+2,88,64
Calvin Pettigrew,31818,983,62,68.0,64.0,+2,88,62
Niklas Anttila,91249,1033,65,63.0,67.0,+3,92,63
Tanner Girouard,88077,990,67,65.0,63.0,+3,92,65
Charles Moore,78268,1010,62,69.0,65.0,+4,94,62
Trevon Crowe,67172,995,62,68.0,66.0,+4,94,62
Silver Latt,61186,1004,66,68.0,63.0,+5,96,66
John Jones,43834,1009,68,64.0,66.0,+6,97,64
Trevor Harbolt,26860,987,66,69.0,63.0,+6,97,66
Mark Chapalonis,70741,997,65,70.0,64.0,+7,99,65
DW Hass,94907,996,67,66.0,66.0,+7,99,66
Adrian Chevalier,104894,988,62,69.0,68.0,+7,99,62
Phill Dilone,70955,987,66,67.0,66.0,+7,99,66
Elijah Bickel,94844,1008,63,68.0,69.0,+8,103,63
E. Lucas Pierce,123319,1005,63,70.0,67.0,+8,103,63
Kade Filimoehala,104984,1002,67,65.0,68.0,+8,103,65
Neil Bishop,104998,983,68,66.0,67.0,+9,106,66
Mark Peters,45745,993,69,70.0,64.0,+11,107,69
Jeremiah Collier,115615,971,69,71.0,63.0,+11,107,69
Benjamin Page,74914,1007,64,68.0,73.0,+13,109,64
Kristo Raik,85483,996,65,72.0,69.0,+14,110,65
Abrahan Bahena,53558,987,67,68.0,71.0,+14,110,67
Scott Stokely,3140,999,66,70.0,72.0,+16,112,66
Brent Hannu,128231,991,66,68.0,75.0,+17,113,66
Niko Rattya,52488,990,69,67.0,73.0,+17,113,67
Eagle McMahon,37817,1053,56,60.0,999.0,,115,56
Cole Neal,98167,996,64,68.0,999.0,,115,64
Michael Johansen,20300,1017,69,999.0,,,117,69
Lance Brown,58644,993,68,999.0,,,117,68
Micah Groth,113179,1008,999,,,,119,999
