Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Ricky Wysocki,38008,1053,62,60.0,68.0,60.0,-10,1,60
Simon Lizotte,8332,1030,61,67.0,69.0,59.0,-4,2,61
Aaron Gossage,35449,1026,64,64.0,70.0,60.0,-2,3,64
Vaino Makela,59635,1022,64,65.0,69.0,60.0,-2,3,64
Brodie Smith,128378,1020,60,64.0,70.0,64.0,-2,3,60
Logan Harpool,101319,1006,66,63.0,66.0,63.0,-2,3,63
Jason Hebenheimer,43762,1005,65,63.0,66.0,64.0,-2,3,63
Chris Dickerson,62467,1046,68,66.0,65.0,60.0,-1,8,65
G.T. Hancock,49885,1011,64,66.0,66.0,63.0,-1,8,64
Calvin Heimburg,45971,1050,67,63.0,69.0,61.0,E,10,63
James Conrad,17295,1038,60,66.0,73.0,61.0,E,10,60
Gannon Buhr,75412,1034,61,66.0,70.0,63.0,E,10,61
Kyle Klein,85132,1040,69,67.0,66.0,59.0,+1,13,66
Jeremy Koling,33705,1025,73,63.0,62.0,63.0,+1,13,62
Nathan Queen,68286,1025,65,68.0,67.0,61.0,+1,13,65
Bartosz Kowalewski,68737,1002,68,61.0,72.0,60.0,+1,13,61
Kevin Jones,41760,1036,62,65.0,74.0,63.0,+4,17,62
Bradley Williams,31644,1028,63,66.0,70.0,65.0,+4,17,63
Chris Clemons,50401,1028,68,62.0,71.0,63.0,+4,17,62
Thomas Gilbert,85850,1028,59,66.0,77.0,62.0,+4,17,59
Nate Sexton,18824,1032,64,67.0,71.0,64.0,+6,21,64
Mason Ford,72844,1028,63,67.0,73.0,63.0,+6,21,63
Luke Samson,59419,1019,64,67.0,71.0,64.0,+6,21,64
Anthony Barela,44382,1032,67,70.0,71.0,59.0,+7,24,67
Nolan Ramser,90461,1001,60,68.0,71.0,68.0,+7,24,60
Drew Gibson,48346,1039,68,64.0,72.0,64.0,+8,26,64
Joel Freeman,69509,1034,68,67.0,69.0,64.0,+8,26,67
Gregg Barsby,15857,1028,66,70.0,66.0,66.0,+8,26,66
Ty Love,89959,1010,64,68.0,71.0,65.0,+8,26,64
Andrew Presnell,63765,1029,68,65.0,69.0,67.0,+9,30,65
Ezra Aderhold,121715,1026,67,64.0,75.0,63.0,+9,30,64
Casey White,81739,1022,68,73.0,65.0,63.0,+9,30,65
Luke Humphries,69424,1020,63,71.0,72.0,63.0,+9,30,63
Blaer Orn Asgeirsson,80554,1012,69,67.0,69.0,64.0,+9,30,67
Jake Lauber,44782,1005,65,64.0,69.0,72.0,+10,35,64
Jordan Castro,49431,1016,61,73.0,74.0,63.0,+11,36,61
AJ Carey,61770,1012,61,74.0,73.0,64.0,+12,37,61
Elijah Bickel,94844,1008,60,71.0,73.0,68.0,+12,37,60
John Willis II,23844,1001,63,69.0,72.0,69.0,+13,39,63
Scott Stokely,3140,999,63,67.0,75.0,68.0,+13,39,63
Emerson Keith,47472,1023,65,66.0,77.0,66.0,+14,41,65
Alan Wagner,28550,1003,67,72.0,71.0,64.0,+14,41,67
Alden Harris,98091,1024,63,76.0,70.0,66.0,+15,43,63
Knut Valen Haland,35070,1012,63,69.0,77.0,66.0,+15,43,63
Caleb Bruce,101944,1000,69,60.0,81.0,65.0,+15,43,60
Garrett Gurthie,13864,1026,66,66.0,72.0,72.0,+16,46,66
Zackeriath Johnson,50312,1023,63,73.0,70.0,70.0,+16,46,63
Dylan Horst,32599,1004,70,70.0,70.0,66.0,+16,46,70
Niklas Anttila,91249,1033,65,71.0,70.0,71.0,+17,49,65
Justin Rosak,98161,1005,60,77.0,73.0,73.0,+23,50,60
Paul McBeth,27523,1053,61,73.0,77.0,,+16,51,61
Linus Carlsson,82098,1028,66,73.0,73.0,,+17,52,66
Jonathan Nicholson,101390,1014,62,77.0,73.0,,+17,52,62
Levi Hancock,103050,1006,72,67.0,73.0,,+17,52,67
Lauri Lehtinen,82297,1029,71,67.0,75.0,,+18,55,67
Max Regitnig,27812,1003,66,72.0,75.0,,+18,55,66
Michael Babbitt,86291,993,71,72.0,71.0,,+19,57,71
Albert Tamm,76669,1019,76,61.0,78.0,,+20,58,61
Gavin Babcock,80331,1010,70,72.0,73.0,,+20,58,70
Tuomas Hyytiainen,65715,1002,63,75.0,77.0,,+20,58,63
Kyle Divelbiss,104419,985,68,74.0,73.0,,+20,58,68
Ryan Orton,31364,982,72,71.0,72.0,,+20,58,71
Kyle Giovannini,60367,1009,75,63.0,78.0,,+21,63,63
Noah Fiveash,99153,1001,64,76.0,76.0,,+21,63,64
Mark Chapalonis,70741,997,64,74.0,78.0,,+21,63,64
Kristo Raik,85483,996,68,70.0,78.0,,+21,63,68
David Wiggins Jr,24437,995,68,77.0,71.0,,+21,63,68
Austin Hannum,68835,1016,64,76.0,77.0,,+22,68,64
Kevin Kiefer III,97115,1013,73,69.0,75.0,,+22,68,69
Zach Melton,38631,1010,71,71.0,75.0,,+22,68,71
Nate Perkins,65737,1005,71,66.0,80.0,,+22,68,66
Silas Schultz,79047,1005,65,73.0,79.0,,+22,68,65
Loren Lewis,68695,994,66,70.0,81.0,,+22,68,66
Chandler Fry,25541,1026,76,70.0,72.0,,+23,74,70
Eric Oakley,53565,1019,72,71.0,75.0,,+23,74,71
Connor O'Reilly,99648,1016,66,78.0,74.0,,+23,74,66
Fredy Meza,100497,1014,75,72.0,71.0,,+23,74,71
John Jones,43834,1009,66,75.0,77.0,,+23,74,66
Silver Latt,61186,1004,62,76.0,80.0,,+23,74,62
Tim Barham,53332,1018,71,72.0,76.0,,+24,80,71
Jared Stoll,68103,977,73,72.0,74.0,,+24,80,72
Corey Ellis,44512,1027,71,72.0,77.0,,+25,82,71
Randon Latta,51685,1003,71,73.0,76.0,,+25,82,71
DW Hass,94907,996,76,69.0,76.0,,+26,84,69
Niko Rattya,52488,990,71,74.0,76.0,,+26,84,71
Jeffrey Bryk,18706,985,70,74.0,77.0,,+26,84,70
Isaac Heinen,44919,1004,75,74.0,73.0,,+27,87,73
Zach Arlinghaus,65266,1002,76,72.0,74.0,,+27,87,72
Billy Engel,44458,983,69,76.0,77.0,,+27,87,69
Charles Moore,78268,1010,77,67.0,79.0,,+28,90,67
Casey Hanemayer,67314,1009,71,70.0,83.0,,+29,91,70
Trevon Crowe,67172,995,78,63.0,84.0,,+30,92,63
Kevin Gleason,19195,994,76,73.0,76.0,,+30,92,73
Matthew Wolf,101774,988,79,69.0,77.0,,+30,92,69
Alex Berg,65488,985,74,75.0,76.0,,+30,92,74
Chandler Kramer,139228,1008,67,76.0,83.0,,+31,96,67
Tanner Girouard,88077,990,75,77.0,74.0,,+31,96,74
Chris Ozolins,55049,1006,76,71.0,80.0,,+32,98,71
Sam Lee,78519,1001,77,73.0,78.0,,+33,99,73
Carter Ahrens,88279,984,77,67.0,84.0,,+33,99,67
Sean Swihart,68043,978,73,78.0,77.0,,+33,99,73
Nate Metzler,41220,997,75,77.0,77.0,,+34,102,75
Luukas Rokkanen,64917,1014,73,77.0,82.0,,+37,103,73
Trevor Harbolt,26860,987,72,73.0,87.0,,+37,103,72
Peter Bures,50464,968,78,82.0,76.0,,+41,105,76
Lance Brown,58644,993,72,79.0,88.0,,+44,106,72
Matthew Orum,18330,1042,66,61.0,999.0,,,107,61
Colten Montgomery,35876,1021,63,70.0,999.0,,,107,63
Philo Brathwaite,26416,1016,79,63.0,999.0,,,107,63
Noah Meintsma,56555,1014,69,73.0,999.0,,,107,69
William Lister,31722,964,83,65.0,999.0,,,107,65
Paul Ulibarri,27171,1026,78,999.0,,,,112,78
Gavin Rathbun,60436,1026,67,999.0,,,,112,67
Tristan Tanner,99053,1007,60,999.0,,,,112,60
Brandon Hauer,55021,974,76,999.0,,,,112,76
Matt Bell,48950,1024,999,,,,,116,999
Clint Calvin,84958,1009,999,,,,,116,999
