Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Simon Lizotte,8332,1034,62,58,58.0,-20,1,58
Calvin Heimburg,45971,1048,63,59,58.0,-18,2,59
Aaron Gossage,35449,1027,62,61,58.0,-17,3,61
Anthony Barela,44382,1036,65,56,62.0,-15,4,56
Ricky Wysocki,38008,1051,62,64,58.0,-14,5,62
Chandler Fry,25541,1022,64,61,59.0,-14,5,61
Drew Gibson,48346,1035,63,60,62.0,-13,7,60
Joel Freeman,69509,1034,63,62,61.0,-12,8,62
Gannon Buhr,75412,1037,65,59,63.0,-11,9,59
Austin Hannum,68835,1017,65,59,63.0,-11,9,59
Matthew Orum,18330,1042,61,63,64.0,-10,11,61
Nate Sexton,18824,1030,68,59,61.0,-10,11,59
Mason Ford,72844,1029,63,61,64.0,-10,11,61
Ezra Aderhold,121715,1029,63,61,64.0,-10,11,61
Corey Ellis,44512,1028,68,60,60.0,-10,11,60
James Conrad,17295,1037,65,64,60.0,-9,16,64
Nikko Locastro,11534,1033,64,62,63.0,-9,16,62
Connor O'Reilly,99648,1013,66,63,61.0,-8,18,63
Paul McBeth,27523,1052,68,61,62.0,-7,19,61
Kyle Klein,85132,1039,68,63,60.0,-7,19,63
Chris Clemons,50401,1027,65,66,60.0,-7,19,65
Garrett Gurthie,13864,1026,70,63,58.0,-7,19,63
Alden Harris,98091,1024,66,64,62.0,-6,23,64
Vaino Makela,59635,1023,67,61,64.0,-6,23,61
Albert Tamm,76669,1019,67,63,62.0,-6,23,63
Emerson Keith,47472,1026,69,65,59.0,-5,26,65
Bradley Williams,31644,1027,68,62,64.0,-4,27,62
Jeremy Koling,33705,1025,65,64,65.0,-4,27,64
Ben Callaway,39015,1023,69,64,61.0,-4,27,64
Lauri Lehtinen,82297,1027,66,61,68.0,-3,30,61
Eric Oakley,53565,1017,70,61,64.0,-3,30,61
AJ Carey,61770,1013,65,66,64.0,-3,30,65
Adam Hammes,57365,1036,74,63,59.0,-2,33,63
Linus Carlsson,82098,1024,70,62,64.0,-2,33,62
Evan Scott,89394,1008,65,68,63.0,-2,33,65
Brodie Smith,128378,1022,66,66,65.0,-1,36,66
Luke Samson,59419,1019,67,68,62.0,-1,36,67
Tristan Tanner,99053,1010,67,64,66.0,-1,36,64
Max Regitnig,27812,1006,65,61,71.0,-1,36,61
James Proctor,34250,1033,67,68,63.0,E,40,67
Dustin Keegan,35187,1012,67,66,65.0,E,40,66
Thomas Tomaselli,80904,1012,72,63,63.0,E,40,63
Noah Fiveash,99153,1001,67,68,63.0,E,40,67
Kevin Jones,41760,1037,71,62,67.0,+2,44,62
Robert Burridge,96512,1006,71,67,62.0,+2,44,67
Jacob Courtis,56511,1001,68,70,62.0,+2,44,68
Cody Kirkland,28198,1021,59,66,76.0,+3,47,59
Zackeriath Johnson,50312,1021,72,66,63.0,+3,47,66
Thomas Gilbert,85850,1029,69,65,68.0,+4,49,65
Matt Bell,48950,1023,66,66,70.0,+4,49,66
Joshua Anthon,17946,1017,68,63,71.0,+4,49,63
Jordan Castro,49431,1016,66,72,64.0,+4,49,66
Cole Redalen,79748,1026,75,63,65.0,+5,53,63
Austin Turner,54049,1021,67,68,68.0,+5,53,67
Luke Humphries,69424,1020,69,69,65.0,+5,53,69
Gavin Babcock,80331,1011,64,72,67.0,+5,53,64
Alan Wagner,28550,1003,71,65,67.0,+5,53,65
Scott Withers,38464,1029,71,63,70.0,+6,58,63
Parker Welck,39491,1000,67,67,70.0,+6,58,67
Tuomas Hyytiainen,65715,999,69,65,70.0,+6,58,65
Steven Rico,4666,1012,70,68,67.0,+7,61,68
Mike Sale,46910,1003,69,65,71.0,+7,61,65
Trevon Crowe,67172,994,65,67,73.0,+7,61,65
Sias Elmore,57425,1009,69,68,69.0,+8,64,68
Mark Chapalonis,70741,996,72,66,68.0,+8,64,66
Trevor Harbolt,26860,985,67,68,71.0,+8,64,67
Casey White,81739,1022,83,62,62.0,+9,67,62
Samuel Aldrich,22055,1009,64,66,77.0,+9,67,64
Casey Hanemayer,67314,1007,71,68,68.0,+9,67,68
Chandler Kramer,139228,1006,71,66,70.0,+9,67,66
Michael Arauza,87267,988,72,66,70.0,+10,71,66
Leif Swenson,32388,1004,70,69,70.0,+11,72,69
Scott Stokely,3140,998,74,65,70.0,+11,72,65
Jerry Showman,61635,983,69,67,74.0,+12,74,67
Colten Montgomery,35876,1019,69,75,69.0,+15,75,69
Andrew Miranda,118426,1001,71,68,74.0,+15,75,68
Jeff Faes,33661,994,70,69,74.0,+15,75,69
Noah Meintsma,56555,1010,76,70,69.0,+17,78,70
David Madruga,32315,999,73,69,73.0,+17,78,69
Maxwell Cazanov-Diggs,125114,970,72,68,75.0,+17,78,68
Brandon Oleskie,84911,966,75,68,73.0,+18,81,68
Luukas Rokkanen,64917,1006,77,70,70.0,+19,82,70
Kade Filimoehala,104984,999,77,68,72.0,+19,82,68
Kristo Raik,85483,994,78,69,70.0,+19,82,69
Ruben Alaniz,31881,975,73,66,78.0,+19,82,66
Jeffrey McCormick,116860,973,71,78,68.0,+19,82,71
Logan Ritter,44974,993,72,75,71.0,+20,87,72
Christopher Keseloff,91498,1006,73,71,75.0,+21,88,71
Aidan Guthrie,96832,989,77,75,67.0,+21,88,75
Brady Och,89514,1001,75,75,70.0,+22,90,75
Alexander Lyon,80636,993,78,70,72.0,+22,90,70
Max Crotty,133487,977,74,74,72.0,+22,90,74
Jaden Chezem,131595,972,75,73,72.0,+22,90,73
Chris Zagone,32774,946,75,72,74.0,+23,94,72
Joel Hyland,179508,962,75,77,70.0,+24,95,75
Rick Huber,100542,961,72,75,75.0,+24,95,72
Ezra Hapner,25000,974,74,82,67.0,+25,97,74
Matt Odenwelder,31710,972,76,70,79.0,+27,98,70
Joseph Haggard,103220,979,76,80,72.0,+30,99,76
Kelly Jew,145435,959,81,71,77.0,+31,100,71
Matt Wittler,152035,983,78,71,84.0,+35,101,71
Nathan La Chance,96400,945,84,76,75.0,+37,102,76
Joshua Sappenfield,20214,983,81,83,73.0,+39,103,81
Austin Thielman,200228,960,79,78,82.0,+41,104,78
Jason Johnson,34360,987,79,84,78.0,+43,105,79
Matt Neiman,42934,967,84,81,79.0,+46,106,81
Patrick Humphreys,89940,955,85,84,75.0,+46,106,84
Andrew Argandar-Valdez,82373,948,86,77,82.0,+47,108,77
Jay Ferrick,109980,948,80,83,84.0,+49,109,80
Roger Vartabedian,69081,940,88,87,84.0,+61,110,87
Lance Brown,58644,993,72,75,999.0,,111,72
Maximus Meyer,49865,982,71,70,999.0,,111,70
Nicholas Harmon,130281,956,89,999,,,113,89
