Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Bradley Williams,31644,1026,54,54.0,58.0,-32,1,54
Ricky Wysocki,38008,1050,57,56.0,55.0,-30,2,56
Simon Lizotte,8332,1039,57,54.0,58.0,-29,3,54
Kyle Klein,85132,1037,53,59.0,57.0,-29,3,53
James Conrad,17295,1036,56,56.0,60.0,-26,5,56
Gannon Buhr,75412,1039,59,60.0,54.0,-25,6,59
Adam Hammes,57365,1035,61,59.0,53.0,-25,6,59
Albert Tamm,76669,1022,60,55.0,58.0,-25,6,55
Paul McBeth,27523,1048,58,59.0,58.0,-23,9,58
Ezra Aderhold,121715,1028,55,61.0,59.0,-23,9,55
Calvin Heimburg,45971,1046,57,61.0,58.0,-22,11,57
Luke Taylor,102119,1011,61,59.0,56.0,-22,11,59
Garett Everson,98164,1005,57,61.0,59.0,-21,13,57
Noah Fiveash,99153,1004,57,58.0,62.0,-21,13,57
Garrett Gurthie,13864,1030,53,60.0,65.0,-20,15,53
Isaac Robinson,50670,1036,54,61.0,64.0,-19,16,54
Kevin Jones,41760,1034,62,60.0,57.0,-19,16,60
Aaron Gossage,35449,1027,58,61.0,60.0,-19,16,58
Gavin Rathbun,60436,1026,64,57.0,58.0,-19,16,57
Paul Oman,34344,1017,55,61.0,63.0,-19,16,55
Connor O'Reilly,99648,1015,57,62.0,60.0,-19,16,57
Nikko Locastro,11534,1032,60,60.0,60.0,-18,22,60
Casey White,81739,1022,56,59.0,65.0,-18,22,56
Chandler Fry,25541,1021,59,60.0,61.0,-18,22,59
Colten Montgomery,35876,1018,59,58.0,63.0,-18,22,58
Logan Harpool,101319,1010,60,59.0,61.0,-18,22,59
Chandler Kramer,139228,1010,61,61.0,58.0,-18,22,61
Evan Smith,101574,1023,57,61.0,63.0,-17,28,57
Alex Russell,66362,1017,59,60.0,62.0,-17,28,59
Alden Harris,98091,1023,58,65.0,59.0,-16,30,58
Ryan Sheldon,87836,1015,59,64.0,59.0,-16,30,59
Elijah Bickel,94844,1003,61,59.0,62.0,-16,30,59
Andrew Marwede,75590,1026,63,59.0,61.0,-15,33,59
Jeremy Koling,33705,1021,63,58.0,62.0,-15,33,58
Cale Leiviska,24341,1034,62,62.0,60.0,-14,35,62
Corey Ellis,44512,1029,59,65.0,60.0,-14,35,59
Zackeriath Johnson,50312,1020,63,60.0,61.0,-14,35,60
Austin Turner,54049,1020,61,58.0,65.0,-14,35,58
John Willis II,23844,1003,63,59.0,62.0,-14,35,59
Mason Ford,72844,1031,61,61.0,63.0,-13,40,61
Chris Clemons,50401,1030,63,61.0,61.0,-13,40,61
Andrew Presnell,63765,1026,61,62.0,62.0,-13,40,61
G.T. Hancock,49885,1010,60,65.0,60.0,-13,40,60
Jake Lauber,44782,1005,61,60.0,64.0,-13,40,60
Matt Thompson,125969,1004,62,60.0,63.0,-13,40,60
Ian Burchett,60435,1002,62,58.0,65.0,-13,40,58
Ben Callaway,39015,1024,66,62.0,58.0,-12,47,62
Austin Hannum,68835,1021,60,62.0,64.0,-12,47,60
Kyle Moriarty,50920,1013,63,63.0,60.0,-12,47,63
Max Regitnig,27812,1008,62,61.0,63.0,-12,47,61
Linus Carlsson,82098,1025,64,61.0,62.0,-11,51,61
Jordan Castro,49431,1011,58,66.0,63.0,-11,51,58
DW Hass,94907,994,62,62.0,64.0,-10,53,62
AJ Carey,61770,1014,58,64.0,67.0,-9,54,58
Patrick Brown,25713,1003,57,62.0,70.0,-9,54,57
Mark Chapalonis,70741,996,62,60.0,67.0,-9,54,60
David Wiggins Jr,24437,995,63,63.0,63.0,-9,54,63
Luke Humphries,69424,1019,62,61.0,67.0,-8,58,61
Eric Oakley,53565,1018,60,61.0,69.0,-8,58,60
Zach Melton,38631,1009,67,60.0,63.0,-8,58,60
Alan Wagner,28550,1003,65,64.0,62.0,-7,61,64
Calvin Pettigrew,31818,989,64,63.0,64.0,-7,61,63
Gregg Barsby,15857,1031,63,65.0,64.0,-6,63,63
Jason Hebenheimer,43762,1008,65,62.0,65.0,-6,63,62
Clint Calvin,84958,1006,65,59.0,68.0,-6,63,59
Trevor Harbolt,26860,988,62,65.0,65.0,-6,63,62
Alexander Krause,100061,1006,59,64.0,70.0,-5,67,59
Donovan Stein,137733,987,65,62.0,66.0,-5,67,62
Carson Lewis,68024,971,66,61.0,66.0,-5,67,61
Danny Beauchamp,76153,1003,66,65.0,63.0,-4,70,65
Timothy T3J Johnson Jr,59661,992,61,64.0,69.0,-4,70,61
Trevon Crowe,67172,992,65,64.0,65.0,-4,70,64
Tony Candyarms Cahill,53637,982,62,65.0,67.0,-4,70,62
Peter Calabrese,137471,998,63,69.0,63.0,-3,74,63
Kade Filimoehala,104984,993,62,63.0,70.0,-3,74,62
Matt Dollar,26045,1001,61,65.0,70.0,-2,76,61
Levi Hancock,103050,1007,63,63.0,71.0,-1,77,63
Calvin Lonnquist,145206,983,62,67.0,68.0,-1,77,62
Anders Lind,137292,956,68,59.0,70.0,-1,77,59
Matt Bell,48950,1023,63,64.0,71.0,E,80,63
Brodie Smith,128378,1022,69,61.0,68.0,E,80,61
Gavin Babcock,80331,1013,64,68.0,66.0,E,80,64
Tristan Tanner,99053,1010,62,66.0,70.0,E,80,62
Harper Thompson,60259,997,65,62.0,71.0,E,80,62
Andy Wacha,70581,988,64,64.0,70.0,E,80,64
Dallas Wrinkle,88370,969,69,67.0,62.0,E,80,67
Eli Swansen,128050,995,62,69.0,68.0,+1,87,62
Luke Samson,59419,1020,64,73.0,63.0,+2,88,64
Jared Johnson,41980,997,65,63.0,72.0,+2,88,63
Zac Sherman,120728,980,68,63.0,69.0,+2,88,63
Nate Perkins,65737,1006,67,68.0,66.0,+3,91,67
Jared Stoll,68103,982,63,69.0,69.0,+3,91,63
Clay Edwards,91397,1004,62,68.0,72.0,+4,93,62
Daniel Polk,27276,998,65,61.0,76.0,+4,93,61
Ben Kroll,42963,984,64,66.0,73.0,+5,95,64
Scott Stokely,3140,1000,61,81.0,62.0,+6,96,61
Lance Brown,58644,992,68,71.0,65.0,+6,96,68
Jake Spencer,76396,970,73,66.0,65.0,+6,96,66
Chris Hall,41569,969,72,67.0,65.0,+6,96,67
Mitchell Privette,44938,997,68,68.0,70.0,+8,100,68
Dan Beto,31408,979,71,69.0,66.0,+8,100,69
Joe Hegge,29449,980,68,68.0,71.0,+9,102,68
Deryck Lawson,112697,963,65,70.0,72.0,+9,102,65
Woody Hass,103944,982,75,60.0,74.0,+11,104,60
Brandon Hauer,55021,973,69,68.0,72.0,+11,104,68
Jeremy Sneeden,81943,935,73,70.0,999.0,,106,70
Mikey Barringer,74673,980,69,67.0,74.0,+12,107,67
Logan Olesen,93730,965,71,67.0,75.0,+15,108,67
Jonny Twofingers Estes,118086,975,70,73.0,71.0,+16,109,70
Noah Meintsma,56555,1004,71,71.0,73.0,+17,110,71
Zack Mullin,100986,938,74,67.0,75.0,+18,111,67
Louis LaPorta,49094,966,71,77.0,72.0,+22,112,71
Jordan Rosevold,137346,938,77,76.0,76.0,+31,113,76
Tristen Leto,150503,934,76,79.0,82.0,+39,114,76
Brady Och,89514,993,71,63.0,999.0,,115,63
Jonathan Nicholson,101390,1014,58,999.0,,,116,58
Travis Tschida,108740,943,67,999.0,,,116,67
Joaquin Enciso,68442,986,888,,,,118,888
