Name,PDGA#,Rating,Rd1,Rd2,Rd3,Par,Place,best_round
Calvin Heimburg,45971,1042,56,56,55.0,-25,1,56
Corey Ellis,44512,1029,54,58,55.0,-25,2,54
Ricky Wysocki,38008,1051,58,58,54.0,-22,3,58
Adam Hammes,57365,1034,59,57,55.0,-21,4,57
Gavin Rathbun,60436,1029,59,58,54.0,-21,4,58
Kyle Klein,85132,1038,54,62,56.0,-20,6,54
Paul McBeth,27523,1045,55,58,60.0,-19,7,55
Andrew Marwede,75590,1026,60,57,56.0,-19,7,57
Brodie Smith,128378,1020,57,60,57.0,-18,9,57
Simon Lizotte,8332,1041,58,57,60.0,-17,10,57
Kevin Jones,41760,1033,58,60,58.0,-16,11,58
Chris Dickerson,62467,1044,59,59,59.0,-15,12,59
Gannon Buhr,75412,1039,57,60,60.0,-15,12,57
Ezra Aderhold,121715,1029,61,60,56.0,-15,12,60
Drew Gibson,48346,1034,59,59,60.0,-14,15,59
Chris Clemons,50401,1029,60,59,59.0,-14,15,59
Cole Redalen,79748,1029,64,62,52.0,-14,15,62
Albert Tamm,76669,1025,57,59,62.0,-14,15,57
Randon Latta,51685,1005,60,57,61.0,-14,15,57
Mason Ford,72844,1030,59,60,60.0,-13,20,59
Ty Love,89959,1013,58,60,61.0,-13,20,58
Chandler Fry,25541,1021,58,62,60.0,-12,22,58
Tim Barham,53332,1018,61,58,61.0,-12,22,58
Casey White,81739,1024,59,62,60.0,-11,24,59
Alden Harris,98091,1024,59,59,63.0,-11,24,59
Ryan Mulder,111887,986,59,60,62.0,-11,24,59
Evan Scott,89394,1013,63,60,59.0,-10,27,60
Gavin Babcock,80331,1012,60,61,61.0,-10,27,60
Zach Arlinghaus,65266,1008,61,59,62.0,-10,27,59
Nolan Ramser,90461,994,62,60,60.0,-10,27,60
Nate Sexton,18824,1033,59,65,59.0,-9,31,59
Garrett Gurthie,13864,1032,60,58,65.0,-9,31,58
Bradley Williams,31644,1029,65,57,61.0,-9,31,57
Ben Callaway,39015,1022,62,61,60.0,-9,31,61
Evan Smith,101574,1022,62,63,58.0,-9,31,62
Tristan Tanner,99053,1007,60,62,61.0,-9,31,60
Trevor Harbolt,26860,990,61,61,61.0,-9,31,61
Joel Freeman,69509,1034,65,58,61.0,-8,38,58
Scott Withers,38464,1028,64,59,61.0,-8,38,59
Aaron Gossage,35449,1027,59,61,64.0,-8,38,59
Garett Everson,98164,1012,66,61,57.0,-8,38,61
Isaac Robinson,50670,1031,66,57,62.0,-7,42,57
Andrew Presnell,63765,1026,65,58,62.0,-7,42,58
Martin Hendel,39469,1016,61,63,61.0,-7,42,61
Eric Oakley,53565,1015,64,63,58.0,-7,42,63
Logan Harpool,101319,1011,61,62,62.0,-7,42,61
Robert Burridge,96512,1006,59,63,63.0,-7,42,59
Anthony Barela,44382,1032,64,63,59.0,-6,48,63
Luke Samson,59419,1020,63,60,63.0,-6,48,60
Jeremy Koling,33705,1019,63,57,66.0,-6,48,57
Kevin Kiefer III,97115,1013,62,61,63.0,-6,48,61
Jason Hebenheimer,43762,1011,63,60,63.0,-6,48,60
Levi Hancock,103050,1006,67,58,61.0,-6,48,58
