Name,PDGA#,Rating,Rd1,Rd2,Rd3,Finals,Par,Place,best_round
Ricky Wysocki,38008,1049,57,61,62.0,56.0,-26,1,57
Paul McBeth,27523,1048,59,60,64.0,57.0,-22,2,59
Gannon Buhr,75412,1040,52,66,63.0,60.0,-21,3,52
Anthony Barela,44382,1030,54,64,63.0,61.0,-20,4,54
Matthew Orum,18330,1043,58,61,63.0,61.0,-19,5,58
Corey Ellis,44512,1030,56,66,68.0,53.0,-19,5,56
Kyle Klein,85132,1039,59,63,65.0,57.0,-18,7,59
Chris Clemons,50401,1031,59,65,64.0,60.0,-14,8,59
Randon Latta,51685,1006,59,62,65.0,62.0,-14,8,59
Calvin Heimburg,45971,1042,58,74,59.0,58.0,-13,10,58
Drew Gibson,48346,1034,59,65,65.0,60.0,-13,10,59
Kevin Jones,41760,1034,62,64,67.0,57.0,-12,12,62
Joel Freeman,69509,1033,59,65,64.0,62.0,-12,12,59
Andrew Presnell,63765,1026,56,69,66.0,59.0,-12,12,56
Sullivan Tipton,78817,1016,60,64,67.0,59.0,-12,12,60
Andrew Marwede,75590,1030,61,66,64.0,60.0,-11,16,61
Kevin Kiefer III,97115,1011,55,67,66.0,63.0,-11,16,55
Alden Harris,98091,1028,58,73,66.0,55.0,-10,18,58
Chris Dickerson,62467,1044,64,63,67.0,60.0,-8,19,63
James Conrad,17295,1035,60,69,66.0,61.0,-6,20,60
Nate Sexton,18824,1031,59,74,64.0,59.0,-6,20,59
Garrett Gurthie,13864,1029,58,70,65.0,63.0,-6,20,58
Evan Smith,101574,1022,62,66,72.0,56.0,-6,20,62
Tim Barham,53332,1019,63,66,65.0,62.0,-6,20,63
Kyle Moriarty,50920,1013,58,63,65.0,70.0,-6,20,58
Simon Lizotte,8332,1034,60,69,65.0,63.0,-5,26,60
Albert Tamm,76669,1023,60,71,65.0,61.0,-5,26,60
Paul Oman,34344,1015,62,70,67.0,58.0,-5,26,62
Evan Scott,89394,1015,60,69,67.0,61.0,-5,26,60
Mason Ford,72844,1027,62,73,67.0,56.0,-4,30,62
Paul Ulibarri,27171,1017,62,67,67.0,62.0,-4,30,62
Bradley Williams,31644,1030,56,66,69.0,68.0,-3,32,56
Aaron Gossage,35449,1027,62,69,67.0,61.0,-3,32,62
Linus Carlsson,82098,1026,63,68,68.0,60.0,-3,32,63
